Molecule Name,SMILES,Batch Name,Canonical PostEra ID,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Hill slope,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Curve class
CVD-0017491,Clc1cccc(CC(=O)Nc2cncc3cnoc23)c1,001,PET-UNK-b1ef24dc-1,23.9,20.6,27.8,1.27,2.1
CVD-0017487,COC1(CS(=O)(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2)CC1,002,ALF-EVA-07677224-7,0.107,0.103,0.112,1.09,1.1
CVD-0017487,COC1(CS(=O)(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2)CC1,002,ALF-EVA-07677224-7,0.0949,0.0854,0.105,1.06,2.1
CVD-0017474,OCc1ccc2c(NC(=O)C3CCOc4ccc(Cl)cc34)cncc2c1,001,ALP-POS-82da25a3-1,1.40,1.31,1.49,1.09,1.1
CVD-0017449,CNC(=O)CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,001,EDJ-MED-015fb6b4-2,0.0560,0.0509,0.0615,1.24,1.1
CVD-0017416,Fc1ccc2c(NC(=O)[C@@H]3CCS(=O)(=O)c4ccc(Cl)cc34)cncc2c1,001,PET-UNK-2c6614b6-5,0.294,0.250,0.347,0.931,1.1
CVD-0017411,Cn1ccc(CN2CC(C(=O)Nc3cncc4ccc(F)cc34)c3cc(Cl)ccc3C2)n1,001,MAT-POS-24589f88-16,1.35,1.26,1.44,1.04,1.1
CVD-0017410,Clc1ccc2OCCC(CNCc3ccc(cc3)N3CCNC(=O)C3)(C(=O)Nc3cncc4ccccc34)c2c1,001,MAT-POS-24589f88-15,8.55,7.94,9.21,0.972,1.1
CVD-0017409,CN1CCN(C(=O)C1c1cccc(Cl)c1)c1cncc2ccccc12,001,MAT-POS-24589f88-14,2.21,2.10,2.33,0.945,1.1
CVD-0017408,CNS(=O)(=O)c1cc(CNCC2(CCOc3ccc(Cl)cc23)C(=O)Nc2cncc3ccccc23)ccc1F,001,MAT-POS-24589f88-13,1.73,1.35,2.21,0.930,1.1
CVD-0017407,NS(=O)(=O)c1ccc(CNCC2(CCOc3ccc(Cl)cc23)C(=O)Nc2cncc3ccccc23)cc1,001,MAT-POS-24589f88-12,2.43,2.21,2.67,1.05,1.1
CVD-0017406,Clc1ccc2OCCC(NC(=O)C3CCC(O3)C(=O)N3CCCC3)(C(=O)Nc3cncc4ccccc34)c2c1,001,MAT-POS-24589f88-11,2.81,2.21,3.59,0.959,1.1
CVD-0017405,Cn1cc(CNCC2(CCOc3ccc(Cl)cc23)C(=O)Nc2cncc3ccccc23)n2ncc(C#N)c12,001,MAT-POS-24589f88-10,12.1,11.1,13.2,1.11,1.1
CVD-0017404,NS(=O)(=O)c1ccc(CNCC2(CCOc3ccc(Cl)cc23)C(=O)Nc2cncc3ccccc23)cc1F,001,MAT-POS-24589f88-9,1.94,1.72,2.19,1.02,1.1
CVD-0017403,NC(=O)c1ccn(n1)-c1ccc(CNCC2(CCOc3ccc(Cl)cc23)C(=O)Nc2cncc3ccccc23)cn1,001,MAT-POS-24589f88-8,6.40,5.82,7.04,0.968,1.1
CVD-0017402,CNC(=O)COc1ccc(CNCC2(CCOc3ccc(Cl)cc23)C(=O)Nc2cncc3ccccc23)cc1OC,001,MAT-POS-24589f88-7,11.8,10.9,12.6,0.916,1.1
CVD-0017401,Clc1ccc2OCCC(CNCc3c(nc4ccccn4c3=O)N3CCOCC3)(C(=O)Nc3cncc4ccccc34)c2c1,001,MAT-POS-24589f88-6,12.5,9.76,16.1,0.892,1.1
CVD-0017400,Cc1nc(CN2CC(C(=O)Nc3cncc4ccc(F)cc34)c3cc(Cl)ccc3C2)cs1,001,MAT-POS-24589f88-5,1.12,1.04,1.20,1.08,1.1
CVD-0017399,Clc1ccc2OCCC(CNCc3cn(CC4CCCO4)nn3)(C(=O)Nc3cncc4ccccc34)c2c1,001,MAT-POS-24589f88-4,8.54,7.86,9.28,1.06,1.1
CVD-0017398,CS(=O)(=O)N1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-24589f88-3,0.141,0.136,0.147,1.06,2.1
CVD-0017397,CS(=O)(=O)N1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-24589f88-2,12.3,11.4,13.3,1.09,1.1
CVD-0017396,COc1ccc2cncc(NC(=O)[C@]3(CCOc4ccc(Cl)cc34)OC)c2c1,001,MAT-POS-24589f88-1,4.18,3.03,5.78,0.951,1.1
CVD-0017392,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cc(=O)[nH]c2ccccc12)C(=O)c1c[nH]cn1,001,ALP-POS-a2344586-3,1.31,1.20,1.43,1.03,1.1
CVD-0017391,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cc(=O)[nH]c2ccccc12)C(=O)c1ccco1,001,ALP-POS-a2344586-1,2.28,0.904,5.74,0.312,2.3
CVD-0017390,CN(C)S(=O)(=O)N1CC(C(=O)Nc2cnccc2C(F)(F)F)c2cc(Cl)ccc2C1,001,EDJ-MED-ee742daa-4,28.8,24.3,34.2,1.32,2.1
CVD-0017362,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CNC1)C#N,001,MAT-POS-dc2604c4-3,0.169,0.157,0.182,1.08,2.1
CVD-0017360,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CC1)C#N,001,MAT-POS-dc2604c4-1,0.0827,0.0715,0.0957,1.23,1.1
CVD-0017357,CN1CCN(CC1)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,EDJ-MED-1981ceba-5,0.116,0.110,0.122,1.07,2.1
CVD-0017356,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)N1CC(C1)C#N,001,EDJ-MED-1981ceba-4,0.0779,0.0722,0.0840,1.16,1.1
CVD-0017355,COC1CN(C1)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,EDJ-MED-1981ceba-3,0.0805,0.0757,0.0857,1.10,1.1
CVD-0017355,COC1CN(C1)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,EDJ-MED-1981ceba-3,0.0594,0.0525,0.0672,1.03,2.1
CVD-0017354,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)N1CCC1,001,EDJ-MED-1981ceba-2,0.245,0.203,0.296,1.22,1.1
CVD-0017354,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)N1CCC1,001,EDJ-MED-1981ceba-2,0.140,0.131,0.150,1.15,1.1
CVD-0017354,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)N1CCC1,001,EDJ-MED-1981ceba-2,0.0888,0.0811,0.0974,1.04,2.1
CVD-0017353,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)N1CCOCC1,001,EDJ-MED-1981ceba-1,0.138,0.127,0.148,1.05,2.1
CVD-0017336,Cc1n[nH]c(CN2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2)n1,001,EDJ-MED-fa7708b3-3,0.750,0.663,0.848,0.858,1.1
CVD-0017335,Clc1ccc2CN(Cc3ncn[nH]3)CC(C(=O)Nc3cncc4ccccc34)c2c1,001,EDJ-MED-fa7708b3-2,0.784,0.726,0.846,1.07,1.1
CVD-0017316,Clc1ccc2c(c1)C(CNS2(=O)=O)C(=O)Nc1cncc2ccccc12,004,ALP-POS-a577c8a2-1,0.334,0.303,0.369,1.21,1.1
CVD-0017303,Cn1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c12,001,PET-UNK-e274cad4-6,1.45,1.29,1.62,1.13,1.1
CVD-0017278,Nc1cncc(NC(=O)C2CCOc3ccc(Cl)cc23)c1C1CC1,001,MAT-POS-afb6844f-4,4.95,4.30,5.69,1.18,1.1
CVD-0017275,CNc1cncc(NC(=O)C2CCOc3ccc(Cl)cc23)c1C,001,MAT-POS-afb6844f-1,32.3,21.5,48.6,1.04,2.3
CVD-0017265,Fc1ccc2cncc(N3C(=O)NC4(COc5ccc(Cl)cc45)C3=O)c2c1,001,MAT-POS-61f37a1a-14,1.38,1.32,1.46,1.01,1.1
CVD-0017264,Cc1nc(CN2CC(C(=O)Nc3cncc4ccc(F)cc34)c3cc(Cl)ccc3C2)c[nH]1,001,MAT-POS-61f37a1a-13,0.307,0.293,0.321,1.06,1.1
CVD-0017263,Clc1ccc2CN(CC#N)CC(C(=O)Nc3cncc4ccccc34)c2c1,001,MAT-POS-61f37a1a-12,0.335,0.321,0.350,1.08,1.1
CVD-0017262,COC(=O)CCc1nocc1CNCC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,001,MAT-POS-61f37a1a-11,2.51,2.41,2.63,1.04,1.1
CVD-0017261,COC(=O)c1cnc(Cn2ccc(CNCC3(CCOc4ccc(Cl)cc34)C(=O)Nc3cncc4ccccc34)n2)cn1,001,MAT-POS-61f37a1a-10,3.09,2.84,3.36,1.07,1.1
CVD-0017260,Clc1ccc2OCCC(CNCc3cnc(nc3)N3CCOCC3)(C(=O)Nc3cncc4ccccc34)c2c1,001,MAT-POS-61f37a1a-9,14.3,13.3,15.5,0.970,1.1
CVD-0017259,Cc1nn(C)c(N2CCOCC2)c1CNCC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,001,MAT-POS-61f37a1a-8,9.57,8.78,10.4,1.06,1.1
CVD-0017258,Clc1ccc2OCCC(CNCc3cn(CC4CCOC4)nn3)(C(=O)Nc3cncc4ccccc34)c2c1,001,MAT-POS-61f37a1a-7,5.98,5.55,6.44,1.17,1.1
CVD-0017257,COc1cc(CNCC2(CCOc3ccc(Cl)cc23)C(=O)Nc2cncc3ccccc23)cc(OC)c1OCC(N)=O,001,MAT-POS-61f37a1a-6,12.1,11.1,13.2,1.31,1.1
CVD-0017256,Cn1cc(CN2CC(C(=O)Nc3cncc4ccc(F)cc34)c3cc(Cl)ccc3C2)nn1,001,MAT-POS-61f37a1a-5,0.914,0.851,0.980,1.08,1.1
CVD-0017255,Cn1nnc(CNC(=O)OC(C)(C)C)c1CNCC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,001,MAT-POS-61f37a1a-4,3.49,3.20,3.80,1.15,1.1
CVD-0017254,Clc1ccc2OCCC(CNCCN3C(=O)c4ccccc4C3=O)(C(=O)Nc3cncc4ccccc34)c2c1,001,MAT-POS-61f37a1a-3,14.3,13.0,15.8,0.845,1.1
CVD-0017253,O[C@@H]1CCC[C@H]1S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-61f37a1a-2,0.146,0.131,0.161,1.13,1.1
CVD-0017253,O[C@@H]1CCC[C@H]1S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-61f37a1a-2,0.129,0.124,0.133,1.10,2.1
CVD-0017252,CC(C)(C)OC(=O)NC(CCO)CNCC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,001,MAT-POS-61f37a1a-1,2.17,1.91,2.46,1.01,1.1
CVD-0017235,Clc1cc2c(NC(=O)C3CCOc4ccc(Cl)cc34)cncc2s1,001,MAT-POS-14f31916-5,1.03,0.825,1.30,1.18,1.1
CVD-0017234,Cc1nc2c(NC(=O)C3CCOc4ccc(Cl)cc34)cncc2s1,001,MAT-POS-14f31916-4,3.23,2.67,3.90,1.01,1.1
CVD-0017233,CNC(=O)c1cc2c(NC(=O)C3CCOc4ccc(Cl)cc34)cncc2s1,001,MAT-POS-14f31916-3,0.571,0.509,0.639,1.23,1.1
CVD-0017232,NC(=O)c1cc2c(NC(=O)C3CCOc4ccc(Cl)cc34)cncc2s1,001,MAT-POS-14f31916-2,0.761,0.511,1.13,0.786,1.3
CVD-0017231,Cc1cc2c(NC(=O)C3CCOc4ccc(Cl)cc34)cncc2s1,002,MAT-POS-14f31916-1,0.228,0.210,0.248,1.06,2.1
CVD-0017229,CS(=O)(=O)N1CC(C(=O)Nc2cncc3CCCCc23)c2cc(Cl)ccc2C1,001,ALP-POS-e6e0c683-3,0.642,0.548,0.753,1.25,1.1
CVD-0017225,CNS(=O)(=O)c1ccc2c(NC(=O)C3(CCOc4ccc(Cl)cc34)OC)cncc2c1,001,EDJ-MED-6bf93aa8-1,0.767,0.703,0.837,1.25,1.1
CVD-0017219,Clc1ccc2c(c1)C(CCS2(=O)=O)C(=O)Nc1cncc2cc(Cl)ccc12,001,EDJ-MED-b7309adf-2,0.838,0.770,0.913,1.13,1.1
CVD-0017218,Fc1ccc2c(NC(=O)C3CCS(=O)(=O)c4ccc(Cl)cc34)cncc2c1,001,EDJ-MED-b7309adf-1,0.770,0.721,0.822,1.12,1.1
CVD-0017215,CS(=O)(=O)c1ccc2c(NC(=O)C3CCS(=O)(=O)c4ccc(Cl)cc34)cncc2c1,001,EDJ-MED-93390d0c-2,0.744,0.665,0.833,1.19,1.1
CVD-0017209,Cn1cc(cn1)N1CCC(CNCC2(CCOc3ccc(Cl)cc23)C(=O)Nc2cncc3ccccc23)C1,001,MAT-POS-5f1400cf-1,5.37,4.85,5.96,0.918,1.1
CVD-0017208,CN(CCO)c1ccc(CNCC2(CCOc3ccc(Cl)cc23)C(=O)Nc2cncc3ccccc23)cn1,001,MAT-POS-5f1400cf-2,4.36,3.97,4.78,1.26,1.1
CVD-0017195,CNS(=O)(=O)c1ccc2cncc(NC(=O)C3(CCOc4ccc(Cl)cc34)OC)c2c1,001,EDG-MED-10fcb19e-3,0.594,0.518,0.681,1.18,1.1
CVD-0017193,COC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccc(NS(C)(=O)=O)cc12,001,EDG-MED-10fcb19e-1,0.145,0.135,0.156,1.09,2.1
CVD-0017145,Fc1ccc2cncc(NC(=O)[C@H]3CCOc4cc(F)c(Cl)cc34)c2c1,001,MAT-POS-ec6d90b7-7,0.240,0.223,0.257,1.11,1.1
CVD-0017145,Fc1ccc2cncc(NC(=O)[C@H]3CCOc4cc(F)c(Cl)cc34)c2c1,001,MAT-POS-ec6d90b7-7,0.382,0.301,0.485,1.11,1.1
CVD-0017145,Fc1ccc2cncc(NC(=O)[C@H]3CCOc4cc(F)c(Cl)cc34)c2c1,001,MAT-POS-ec6d90b7-7,0.140,0.125,0.156,0.898,2.1
CVD-0017144,COc1ccc2cncc(NC(=O)[C@H]3CCNc4cc(Cl)c(Cl)cc34)c2c1,001,MAT-POS-ec6d90b7-6,0.0536,0.0368,0.0783,0.902,1.3
CVD-0017144,COc1ccc2cncc(NC(=O)[C@H]3CCNc4cc(Cl)c(Cl)cc34)c2c1,001,MAT-POS-ec6d90b7-6,0.0823,0.0560,0.121,1.09,1.1
CVD-0017143,Fc1ccc2cncc(NC(=O)[C@H]3CCNc4cc(Cl)c(Cl)cc34)c2c1,001,MAT-POS-ec6d90b7-5,0.182,0.166,0.199,1.05,1.1
CVD-0017143,Fc1ccc2cncc(NC(=O)[C@H]3CCNc4cc(Cl)c(Cl)cc34)c2c1,001,MAT-POS-ec6d90b7-5,0.145,0.130,0.161,1.08,1.1
CVD-0017143,Fc1ccc2cncc(NC(=O)[C@H]3CCNc4cc(Cl)c(Cl)cc34)c2c1,001,MAT-POS-ec6d90b7-5,0.248,0.207,0.297,1.01,1.1
CVD-0017143,Fc1ccc2cncc(NC(=O)[C@H]3CCNc4cc(Cl)c(Cl)cc34)c2c1,001,MAT-POS-ec6d90b7-5,0.0951,0.0857,0.105,0.877,2.1
CVD-0017142,CO[C@@]1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccc(F)cc12,001,MAT-POS-ec6d90b7-4,23.3,20.9,26.1,0.971,2.1
CVD-0017139,Clc1ccc2OCC[C@]3(OC(=O)N(C3=O)c3cncc4ccccc34)c2c1,001,MAT-POS-ec6d90b7-1,> 9.95,"","",0.556,2.3
CVD-0017139,Clc1ccc2OCC[C@]3(OC(=O)N(C3=O)c3cncc4ccccc34)c2c1,001,MAT-POS-ec6d90b7-1,80.9,25.8,253,0.351,2.3
CVD-0017074,CN(C)C(=O)COCC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,001,MAT-POS-fc9ede84-1,0.652,0.596,0.712,0.941,1.1
CVD-0017066,CS(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)c(F)cc2C1,001,MAT-POS-64942dd0-3,0.258,0.242,0.275,1.10,1.1
CVD-0017033,CS(=O)(=O)N1CC(C(=O)Nc2cncc3cccc(F)c23)c2cc(Cl)ccc2C1,001,EDJ-MED-d1555997-1,0.951,0.804,1.12,0.944,1.1
CVD-0017032,Clc1ccc2C3CCC(O3)(C(=O)Nc3cncc4ccccc34)c2c1,001,RAL-THA-eb6cb89c-2,11.1,9.02,13.7,0.845,2.1
CVD-0017026,COC1(CCCN(C1=O)c1cncc2ccccc12)c1cccc(Cl)c1,001,ALP-UNI-dbb9503d-2,2.08,1.96,2.20,1.05,1.1
CVD-0017025,COC1(CCN(C1=O)c1cncc2ccccc12)c1cccc(Cl)c1,001,ALP-UNI-dbb9503d-1,0.467,0.341,0.640,1.12,1.1
CVD-0016993,COC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccncc12,001,MAT-POS-a5ef2d74-3,0.832,0.778,0.889,1.06,1.1
CVD-0016992,COC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccc(F)cc12,001,MAT-POS-a5ef2d74-2,0.246,0.235,0.258,1.06,2.1
CVD-0016991,Fc1cc2OCCC(C(=O)Nc3cncc4ccncc34)c2cc1Cl,001,MAT-POS-a5ef2d74-1,1.10,1.02,1.19,0.990,1.1
CVD-0016934,Cn1cncc1C(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-41,0.224,0.215,0.233,1.07,2.1
CVD-0016933,Cn1nccc1C(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-40,0.166,0.152,0.182,1.19,1.1
CVD-0016933,Cn1nccc1C(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-40,0.145,0.139,0.152,1.11,2.1
CVD-0016932,Cc1nocc1C(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-39,0.168,0.160,0.176,1.06,2.1
CVD-0016931,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)C(=O)c1ncco1,001,MAT-POS-4223bc15-38,0.918,0.581,1.45,0.692,1.3
CVD-0016930,Cn1nncc1C(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-37,0.397,0.329,0.480,0.996,2.1
CVD-0016929,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)C(=O)c1cnco1,001,MAT-POS-4223bc15-36,1.07,1.02,1.11,1.04,1.1
CVD-0016926,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)C(=O)CC#N,001,MAT-POS-4223bc15-33,0.204,0.172,0.241,0.877,2.1
CVD-0016924,Cn1ncc(n1)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-31,0.268,0.234,0.307,0.997,2.1
CVD-0016923,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)c1ncc[nH]1,001,MAT-POS-4223bc15-30,0.217,0.204,0.231,1.04,2.1
CVD-0016921,COCCN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-28,2.26,2.08,2.46,1.06,1.1
CVD-0016919,FC(F)(F)CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-26,3.41,3.01,3.86,1.15,1.1
CVD-0016918,NC(=O)CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-25,0.130,0.119,0.142,1.18,1.1
CVD-0016918,NC(=O)CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-25,0.118,0.104,0.135,1.10,1.1
CVD-0016918,NC(=O)CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-25,0.109,0.104,0.114,1.03,2.1
CVD-0016917,CN(C)C(=O)CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-24,0.896,0.857,0.936,1.07,1.1
CVD-0016916,CNC(=O)CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-23,0.0886,0.0838,0.0937,1.09,1.1
CVD-0016916,CNC(=O)CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-23,0.0693,0.0666,0.0721,1.08,2.1
CVD-0016915,COC(=O)CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-22,1.55,1.47,1.63,1.07,1.1
CVD-0016914,OC(=O)CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-21,8.43,7.90,9.00,1.02,1.1
CVD-0016913,CN(C)C(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-18,0.275,0.262,0.289,1.06,2.1
CVD-0016912,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)C(=O)C1CC1,001,MAT-POS-4223bc15-17,0.487,0.460,0.516,1.05,1.1
CVD-0016911,OCC1CCCN1S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-16,1.14,1.01,1.28,1.21,1.1
CVD-0016910,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)C1CNC1,001,MAT-POS-4223bc15-15,0.274,0.258,0.291,0.940,2.1
CVD-0016909,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1CNC1,001,MAT-POS-4223bc15-14,0.135,0.125,0.146,1.08,2.1
CVD-0016907,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CCC1)C#N,001,MAT-POS-4223bc15-12,0.0634,0.0566,0.0711,1.06,1.1
CVD-0016907,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CCC1)C#N,001,MAT-POS-4223bc15-12,0.0565,0.0532,0.0600,1.10,2.1
CVD-0016906,CC1CCN(C1)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-11,0.0523,0.0490,0.0558,1.21,1.1
CVD-0016903,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)C1CCOC1,001,MAT-POS-4223bc15-8,0.152,0.145,0.159,1.03,2.1
CVD-0016902,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)C1COC1,001,MAT-POS-4223bc15-7,0.246,0.221,0.273,1.05,2.1
CVD-0016901,CCS(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-6,0.242,0.213,0.274,1.16,1.1
CVD-0016901,CCS(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-6,0.185,0.174,0.197,1.04,2.1
CVD-0016900,OCCS(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-5,0.232,0.218,0.248,1.05,2.1
CVD-0016899,COCCS(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-4,0.214,0.196,0.234,1.17,1.1
CVD-0016899,COCCS(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-4,0.211,0.200,0.222,1.08,2.1
CVD-0016898,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)C1CC1,001,MAT-POS-4223bc15-3,0.310,0.290,0.332,1.01,2.1
CVD-0016897,CN(C)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-2,0.156,0.0761,0.321,0.791,1.3
CVD-0016897,CN(C)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-2,0.124,0.119,0.129,1.09,2.1
CVD-0016896,CNS(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,001,MAT-POS-4223bc15-1,0.149,0.140,0.158,1.08,2.1
CVD-0016885,CN(C)C(=O)CNCC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,001,MAT-POS-e6dd326d-13,0.603,0.543,0.669,1.03,1.1
CVD-0016881,CC(=O)NCC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,001,MAT-POS-e6dd326d-9,3.34,3.14,3.57,1.27,1.1
CVD-0016880,Clc1ccc2OCCC(CNC(=O)C=C)(C(=O)Nc3cncc4ccccc34)c2c1,001,MAT-POS-e6dd326d-8,0.871,0.824,0.921,1.08,1.1
CVD-0016878,COC(=O)NCC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,001,MAT-POS-e6dd326d-6,0.573,0.535,0.613,1.08,1.1
CVD-0016877,CN(C)S(=O)(=O)NCC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,001,MAT-POS-e6dd326d-5,2.73,2.50,2.97,1.04,1.1
CVD-0016876,CS(=O)(=O)NCC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,001,MAT-POS-e6dd326d-4,3.87,3.56,4.21,1.21,1.1
CVD-0016875,COc1ccc2cncc(NC(=O)C3CCNc4cc(Cl)c(Cl)cc34)c2c1,001,MAT-POS-96f51285-6,0.131,0.116,0.148,0.989,1.1
CVD-0016875,COc1ccc2cncc(NC(=O)C3CCNc4cc(Cl)c(Cl)cc34)c2c1,001,MAT-POS-96f51285-6,0.131,0.101,0.169,0.899,2.3
CVD-0016874,Fc1ccc2cncc(NC(=O)C3CCOc4cc(F)c(Cl)cc34)c2c1,001,MAT-POS-96f51285-5,0.314,0.287,0.344,1.05,1.1
