SMILES,TITLE,fragments,CrystalName,CompoundCode,MountingResult,DataCollectionOutcome,DataProcessingResolutionHigh,RefinementOutcome,Deposition_PDB_ID,Hybrid2,docked_fragment,Mpro-x0500_dock,site
CC(C)CC(=O)NCc1ccc2c(c1)OCO2,x0431,x0431,Mpro-x0431,Z27695365,OK: No comment:No comment,success,1.39,7 - Analysed & Rejected,None,-8.927890,x0195,,active-noncovalent
Cn1nc(nn1)NC(=O)c2cc3ccccc3o2,x0495,x0495,Mpro-x0495,Z57292378,OK: No comment:No comment,success,1.75,7 - Analysed & Rejected,None,-8.918229,x0678,,active-noncovalent
Cc1nc2ccccc2n1CCC(=O)N,x0154,x0154,Mpro-x0154,Z53116498,OK: Clear:Cracked,Failed - low resolution,6.43,,None,-8.917376,x0678,,active-noncovalent
Cc1nc2ccccc2n1CCC(=O)N,x1239,x1239,Mpro-x1239,Z53116498,OK: No comment:No comment,Failed - low resolution,3.67,,None,-8.917376,x0678,,active-noncovalent
c1cc(oc1)C2CCN(CC2)c3ccc(cc3)S(=O)(=O)N,x2561,x2561,Mpro-x2561,Z3077528599,OK: Precipitated:No comment,success,1.72,7 - Analysed & Rejected,None,-8.915313,x0195,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2393,x2393,Mpro-x2393,melatonine,OK: Clear:Cracked,success,1.93,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2379,x2379,Mpro-x2379,melatonine,OK: Clear:Normal,success,2.14,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2384,x2384,Mpro-x2384,melatonine,OK: Clear:Normal,success,1.68,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2360,x2360,Mpro-x2360,melatonine,OK: Clear:Jelly,None,None,,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2401,x2401,Mpro-x2401,melatonine,OK: Clear:Normal,success,1.7,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2394,x2394,Mpro-x2394,melatonine,OK: Clear:Normal,success,2.28,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2395,x2395,Mpro-x2395,melatonine,OK: Clear:Normal,success,1.72,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2389,x2389,Mpro-x2389,melatonine,OK: Clear:Cracked,success,2.32,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2391,x2391,Mpro-x2391,melatonine,OK: Clear:Normal,success,1.69,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2390,x2390,Mpro-x2390,melatonine,OK: Clear:Normal,success,2.19,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2503,x2503,Mpro-x2503,Z1191880499,OK: Clear:Normal,success,2.18,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2378,x2378,Mpro-x2378,melatonine,OK: Clear:Cracked,success,1.79,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2385,x2385,Mpro-x2385,melatonine,OK: Clear:Normal,success,1.7,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2388,x2388,Mpro-x2388,melatonine,OK: Clear:Normal,success,1.74,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2380,x2380,Mpro-x2380,melatonine,OK: Clear:Normal,success,1.64,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2381,x2381,Mpro-x2381,melatonine,OK: Clear:Normal,success,1.92,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2383,x2383,Mpro-x2383,melatonine,OK: Clear:Normal,success,1.56,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2397,x2397,Mpro-x2397,melatonine,OK: Clear:Normal,success,1.97,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2671,x2671,Mpro-x2671,Z1191880499,OK: No comment:No comment,success,2.04,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2387,x2387,Mpro-x2387,melatonine,OK: Clear:Normal,success,1.69,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2386,x2386,Mpro-x2386,melatonine,OK: Clear:Normal,success,1.97,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2399,x2399,Mpro-x2399,melatonine,OK: Clear:Normal,success,2.48,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2400,x2400,Mpro-x2400,melatonine,OK: Clear:Normal,success,1.87,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2396,x2396,Mpro-x2396,melatonine,OK: Clear:Cracked,success,2.05,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2355,x2355,Mpro-x2355,melatonine,OK: Clear:Cracked,None,None,,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2392,x2392,Mpro-x2392,melatonine,OK: Clear:Cracked,success,1.74,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2382,x2382,Mpro-x2382,melatonine,OK: Clear:Cracked,success,1.87,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2398,x2398,Mpro-x2398,melatonine,OK: Clear:Normal,success,1.9,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2460,x2460,Mpro-x2460,melatonine,OK: Clear:Normal,success,1.76,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent
C[C@@H]1CCCN(C1)C(=O)C2CCN(CC2)C(=O)CCl,x0781,x0781,Mpro-x0781,PCM-0102933,OK: Clear:Normal,success,2.15,7 - Analysed & Rejected,None,-8.912820,x0749,,active-covalent
C[C@@H]1CCCN(C1)C(=O)C2CCN(CC2)C(=O)CCl,x1360,x1360,Mpro-x1360,PCM-0102933,OK: No comment:No comment,success,3.02,7 - Analysed & Rejected,None,-8.912820,x0749,,active-covalent
C[C@@H]1CCCN(C1)C(=O)C2CCN(CC2)C(=O)CCl,x0817,x0817,Mpro-x0817,PCM-0102933,OK: Clear:Normal,Failed - low resolution,4.3,,None,-8.912820,x0749,,active-covalent
C[C@@H]1CCCN(C1)C(=O)C2CCN(CC2)C(=O)CCl,x0707,x0707,Mpro-x0707,PCM-0102933,OK: Clear:Normal,success,2.1,7 - Analysed & Rejected,None,-8.912820,x0749,,active-covalent
C[C@@H]1CCCN(C1)C(=O)C2CCN(CC2)C(=O)CCl,x1457,x1457,Mpro-x1457,PCM-0102933,OK: No comment:No comment,success,2.1,7 - Analysed & Rejected,None,-8.912820,x0749,,active-covalent
C[C@@H]1CCCN(C1)C(=O)C2CCN(CC2)C(=O)CCl,x0743,x0743,Mpro-x0743,PCM-0102933,OK: Clear:Normal,success,1.85,7 - Analysed & Rejected,None,-8.912820,x0749,,active-covalent
c1ccc2c(c1)c(no2)CNC(=O)c3ccccc3OCC4CC4,x2603,x2603,Mpro-x2603,Z1935637461,OK: No comment:Cracked,success,1.47,7 - Analysed & Rejected,None,-8.908870,x0678,,active-noncovalent
C[C@H](c1cccc(c1)NC(=O)Cc2cnccc2Cl)[NH+]3CCOCC3,x2591,x2591,Mpro-x2591,Z2330806997,OK: No comment:No comment,success,1.62,7 - Analysed & Rejected,None,-8.907784,x0107,,active-noncovalent
C[C@H](c1cccnc1)[NH2+]C2CC2,x0619,x0619,Mpro-x0619,Z1263529721,Mounted_Clear,success,1.61,7 - Analysed & Rejected,None,-8.906029,x0678,,active-noncovalent
C[C@H](c1cccnc1)[NH2+]C2CC2,x1133,x1133,Mpro-x1133,Z1263529721,OK: No comment:No comment,success,1.84,7 - Analysed & Rejected,None,-8.906029,x0678,,active-noncovalent
CN(c1ccccc1)C(=O)[C@@H]2CC[NH2+]C2,x0600,x0600,Mpro-x0600,Z2447286438,OK: No comment:No comment,success,2.97,7 - Analysed & Rejected,None,-8.903916,x0749,,active-covalent
CN(c1ccccc1)C(=O)[C@@H]2CC[NH2+]C2,x1205,x1205,Mpro-x1205,Z2447286438,OK: No comment:No comment,success,1.67,7 - Analysed & Rejected,None,-8.903916,x0749,,active-covalent
c1cc2c(c[nH]c2nc1)CC(=O)NCc3ccc(cc3)C#N,x2645,x2645,Mpro-x2645,Z1400838206,OK: Precipitated:No comment,success,2.39,7 - Analysed & Rejected,None,-8.901452,x0749,,active-covalent
c1cc2c(c[nH]c2nc1)CC(=O)NCc3ccc(cc3)C#N,x2477,x2477,Mpro-x2477,Z1400838206,OK: Clear:Normal,success,1.85,7 - Analysed & Rejected,None,-8.901452,x0749,,active-covalent
c1ccc(c(c1)C(=O)NCCc2ccncc2)F,x0426,x0426,Mpro-x0426,Z1310876699,OK: No comment:No comment,success,1.43,6 - Deposited,5RGK,-8.897669,x0678,,active-noncovalent
c1ccc(c(c1)C[NH2+]C2CCOCC2)F,x0566,x0566,Mpro-x0566,Z823455846,OK: No comment:Cracked,success,3.16,7 - Analysed & Rejected,None,-8.897429,x0678,,active-noncovalent
c1ccc(c(c1)C[NH2+]C2CCOCC2)F,x1109,x1109,Mpro-x1109,Z823455846,OK: No comment:No comment,success,2.03,7 - Analysed & Rejected,None,-8.897429,x0678,,active-noncovalent
CC(=O)Nc1ccc(cc1)N2CC[NH+](CC2)C,x1053,x1053,Mpro-x1053,Z2856434903,OK: Clear:Normal,success,1.82,7 - Analysed & Rejected,None,-8.891528,x0749,,active-covalent
CC(=O)Nc1ccc(cc1)N2CC[NH+](CC2)C,x0345,x0345,Mpro-x0345,Z2856434903,OK: No comment:No comment,success,2.54,7 - Analysed & Rejected,None,-8.891528,x0749,,active-covalent
CC(=O)Nc1ccc(cc1)N2CC[NH+](CC2)C,x1282,x1282,Mpro-x1282,Z2856434903,OK: No comment:No comment,success,1.87,7 - Analysed & Rejected,None,-8.891528,x0749,,active-covalent
Cc1ccc(cc1)N2CCN(CC2)C(=O)N,x1071,x1071,Mpro-x1071,Z1650868495,OK: Clear:Normal,success,1.54,7 - Analysed & Rejected,None,-8.886573,x0749,,active-covalent
Cc1ccc(cc1)N2CCN(CC2)C(=O)N,x0043,x0043,Mpro-x0043,Z1650868495,OK: No comment:No comment,success,2.68,7 - Analysed & Rejected,None,-8.886573,x0749,,active-covalent
C[C@H](C(=O)N(CCc1ccccc1)Cc2cccnc2)OC[C@@H]3CCCCO3,x2810,x2810,Mpro-x2810,BAR-COM-4e0-55,OK: Clear:No comment,success,2.43,7 - Analysed & Rejected,None,-8.880486,x0678,,active-noncovalent
c1cc(cc(c1)Cl)NC(=O)C[NH+]2CCCC2,x0349,x0349,Mpro-x0349,Z2735692823,OK: No comment:No comment,success,2.42,7 - Analysed & Rejected,None,-8.878303,x0195,,active-noncovalent
Cc1cccc(c1)C[NH+]2CCN(CC2)C(=O)CCl,x0692,x0692,Mpro-x0692,PCM-0102340,OK: Clear:Normal,success,1.62,6 - Deposited,5REL,-8.877540,x0831,,active-covalent
Cc1cccc(c1)C[NH+]2CCN(CC2)C(=O)CCl,x1331,x1331,Mpro-x1331,PCM-0102340,OK: No comment:No comment,success,1.76,7 - Analysed & Rejected,None,-8.877540,x0831,,active-covalent
Cc1cccc(c1)C[NH+]2CCN(CC2)C(=O)CCl,x0766,x0766,Mpro-x0766,PCM-0102340,OK: Clear:Normal,success,2.01,7 - Analysed & Rejected,None,-8.877540,x0831,,active-covalent
Cc1cccc(c1)C[NH+]2CCN(CC2)C(=O)CCl,x1388,x1388,Mpro-x1388,PCM-0102340,OK: No comment:No comment,success,1.92,7 - Analysed & Rejected,None,-8.877540,x0831,,active-covalent
Cc1cccc(c1)C[NH+]2CCN(CC2)C(=O)CCl,x1417,x1417,Mpro-x1417,PCM-0102340,OK: No comment:No comment,success,1.9,7 - Analysed & Rejected,None,-8.877540,x0831,,active-covalent
c1cc(oc1)C(=O)N2CC[NH+](CC2)CC(=O)N,x0341,x0341,Mpro-x0341,Z2856434793,OK: No comment:No comment,success,1.78,7 - Analysed & Rejected,None,-8.873401,x0161,,active-noncovalent
C=CC(=O)Nc1nc(cs1)c2ccc(cc2)O,x2354,x2354,Mpro-x2354,PCM-0102884-001,OK: Clear:Cracked,success,2.24,7 - Analysed & Rejected,None,-8.860971,x0749,,active-covalent
C=CC(=O)Nc1nc(cs1)c2ccc(cc2)O,x2550,x2550,Mpro-x2550,PCM-0102884-001,OK: No comment:No comment,success,2.47,7 - Analysed & Rejected,None,-8.860971,x0749,,active-covalent
Cc1ccccc1OCC(=O)N(C)C,x0684,x0684,Mpro-x0684,Z19733482,Mounted_Clear,success,1.81,7 - Analysed & Rejected,None,-8.853641,x0195,,active-noncovalent
Cc1cc(no1)C(=O)NCC(=O)OC,x0466,x0466,Mpro-x0466,Z375990520,OK: No comment:No comment,success,2.63,7 - Analysed & Rejected,None,-8.849805,x0397,,active-noncovalent
Cc1cc(no1)C(=O)NCC(=O)OC,x1065,x1065,Mpro-x1065,Z375990520,OK: Clear:Normal,success,1.72,7 - Analysed & Rejected,None,-8.849805,x0397,,active-noncovalent
c1cc(c(nc1)Cl)C(=O)Nc2nc[nH]n2,x0653,x0653,Mpro-x0653,Z275154304,Mounted_Clear,success,1.85,7 - Analysed & Rejected,None,-8.848922,x0678,,active-noncovalent
c1cc(ccc1C[C@]2(CC[NH2+]C2)N)F,x0881,x0881,Mpro-x0881,POB0117,OK: Clear:Normal,success,1.81,7 - Analysed & Rejected,None,-8.842945,x0195,,active-noncovalent
Cc1ccn(c(=O)c1)Cc2csc(n2)C,x0256,x0256,Mpro-x0256,Z1134990241,OK: No comment:No comment,success,1.4,7 - Analysed & Rejected,None,-8.842185,x0678,,active-noncovalent
Cc1cccc(c1)Nc2c3cnn(c3ncn2)C,x0543,x0543,Mpro-x0543,Z56983806,OK: Phase Separation:No comment,None,None,,None,-8.837940,x0678,,active-noncovalent
c1cc(cnc1)NC(=O)Nc2ccc(cc2)C#N,x2653,x2653,Mpro-x2653,Z195735586,OK: Precipitated:No comment,success,1.98,7 - Analysed & Rejected,None,-8.835213,x0749,,active-covalent
c1cc(cnc1)NC(=O)Nc2ccc(cc2)C#N,x2485,x2485,Mpro-x2485,Z195735586,OK: Clear:Normal,success,1.82,7 - Analysed & Rejected,None,-8.835213,x0749,,active-covalent
c1cc(ccc1n2cc(nn2)CO)Cl,x0142,x0142,Mpro-x0142,Z1374778753,OK: Crystalline:Normal,success,3.49,7 - Analysed & Rejected,None,-8.833220,x0749,,active-covalent
c1cc(ccc1n2cc(nn2)CO)Cl,x1122,x1122,Mpro-x1122,Z1374778753,OK: No comment:No comment,success,2.54,7 - Analysed & Rejected,None,-8.833220,x0749,,active-covalent
COc1ccc(cc1)C2(CCOCC2)C(=O)OC,x0865,x0865,Mpro-x0865,POB0092,OK: Clear:Normal,success,2.01,7 - Analysed & Rejected,None,-8.832322,x0749,,active-covalent
CC(C)(C)C1CCN(CC1)C(=O)c2ccccc2,x0378,x0378,Mpro-x0378,Z1217741507,OK: No comment:Cracked,success,2,7 - Analysed & Rejected,None,-8.828969,x0749,,active-covalent
CCOCC1CCN(CC1)c2ccc(cc2)S(=O)(=O)N,x2805,x2805,Mpro-x2805,WAR-XCH-b68-20,OK: Clear:No comment,success,2.33,7 - Analysed & Rejected,None,-8.822823,x0161,,active-noncovalent
C1CCCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x0706,x0706,Mpro-x0706,PCM-0102781,OK: Clear:Normal,success,1.77,7 - Analysed & Rejected,None,-8.821181,x0749,,active-covalent
C1CCCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x1341,x1341,Mpro-x1341,PCM-0102781,OK: No comment:No comment,None,None,,None,-8.821181,x0749,,active-covalent
C1CCCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x1393,x1393,Mpro-x1393,PCM-0102781,OK: No comment:No comment,success,2.82,7 - Analysed & Rejected,None,-8.821181,x0749,,active-covalent
C1CCCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x1320,x1320,Mpro-x1320,PCM-0102781,OK: No comment:No comment,None,None,,None,-8.821181,x0749,,active-covalent
C1CCCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x1442,x1442,Mpro-x1442,PCM-0102781,OK: No comment:No comment,success,2.55,7 - Analysed & Rejected,None,-8.821181,x0749,,active-covalent
C1CCCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x1359,x1359,Mpro-x1359,PCM-0102781,OK: No comment:No comment,success,2.23,7 - Analysed & Rejected,None,-8.821181,x0749,,active-covalent
C1CCCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x0780,x0780,Mpro-x0780,PCM-0102781,OK: Clear:Normal,success,1.86,7 - Analysed & Rejected,None,-8.821181,x0749,,active-covalent
C1CCCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x0742,x0742,Mpro-x0742,PCM-0102781,OK: Clear:Normal,success,1.78,7 - Analysed & Rejected,None,-8.821181,x0749,,active-covalent
C1CCCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x0816,x0816,Mpro-x0816,PCM-0102781,OK: Clear:Cracked,success,1.9,7 - Analysed & Rejected,None,-8.821181,x0749,,active-covalent
c1cc(ccc1N2CCC(CC2)c3ccsc3)S(=O)(=O)N,x2559,x2559,Mpro-x2559,Z3076733213,OK: Precipitated:No comment,success,1.66,7 - Analysed & Rejected,None,-8.814410,x0195,,active-noncovalent
CN(c1ccc(nn1)C(=O)N)C2CCC2,x0306,x0306,Mpro-x0306,Z1349163663,OK: No comment:No comment,success,1.66,7 - Analysed & Rejected,None,-8.807671,x0749,,active-covalent
Cn1nc(nn1)NC(=O)c2ccc(cc2)F,x0640,x0640,Mpro-x0640,Z57292433,Mounted_Clear,success,2.41,7 - Analysed & Rejected,None,-8.800728,x0678,,active-noncovalent
Cc1ccccc1[C@@H]2COC[C@@H]2C(=O)[O-],x0898,x0898,Mpro-x0898,POB0135,OK: No comment:No comment,Failed - low resolution,3.73,,None,-8.796511,x1392,,active-covalent
COC(=O)[C@@]1(CC[NH2+]C1)Cc2ccc(cc2)F,x0860,x0860,Mpro-x0860,POB0112,OK: Clear:Normal,success,2.07,7 - Analysed & Rejected,None,-8.795607,x0195,,active-noncovalent
c1cc(cc(c1)Cl)C[NH+]2CCN(CC2)C(=O)CCl,x0770,x0770,Mpro-x0770,PCM-0102269,OK: Clear:Normal,success,1.68,6 - Deposited,5RET,-8.791433,x0831,,active-covalent
c1cc(cc(c1)Cl)C[NH+]2CCN(CC2)C(=O)CCl,x1369,x1369,Mpro-x1369,PCM-0102269,OK: No comment:No comment,success,1.99,7 - Analysed & Rejected,None,-8.791433,x0831,,active-covalent
c1cc(cc(c1)Cl)C[NH+]2CCN(CC2)C(=O)CCl,x0696,x0696,Mpro-x0696,PCM-0102269,OK: Clear:Normal,success,1.81,7 - Analysed & Rejected,None,-8.791433,x0831,,active-covalent
COC(=O)c1ccc(cc1)NC(=O)C2CCCC2,x0412,x0412,Mpro-x0412,Z28226359,OK: Crystalline:Normal,success,1.83,7 - Analysed & Rejected,None,-8.791307,x0749,,active-covalent
c1cc(cc(c1)OCCn2cncn2)NC(=O)Cc3cccnc3Br,x2832,x2832,Mpro-x2832,BAR-COM-4e0-35,OK: Clear:No comment,success,1.85,7 - Analysed & Rejected,None,-8.784991,x0195,,active-noncovalent
CS(=O)(=O)Cc1[nH]c2ccccc2n1,x0084,x0084,Mpro-x0084,Z126932614,OK: No comment:No comment,Failed - low resolution,5.2,,None,-8.784011,x0678,,active-noncovalent
CS(=O)(=O)Cc1[nH]c2ccccc2n1,x1237,x1237,Mpro-x1237,Z126932614,OK: No comment:No comment,success,1.41,6 - Deposited,5RFD,-8.784011,x0678,,active-noncovalent
c1cnccc1C(=O)N2CC[NH2+]CC2,x0620,x0620,Mpro-x0620,Z126932654,Mounted_Clear,success,1.5,7 - Analysed & Rejected,None,-8.777584,x0195,,active-noncovalent
c1ccc(c(c1)[C@@H]2C[NH2+]C[C@@H]2CO)F,x0922,x0922,Mpro-x0922,POB0139,OK: No comment:No comment,success,2.09,7 - Analysed & Rejected,None,-8.772961,x0195,,active-noncovalent
c1cc(ccc1N2CCSCC2)S(=O)(=O)N,x2815,x2815,Mpro-x2815,WAR-XCH-b72-1,OK: Clear:No comment,None,None,,None,-8.766706,x0749,,active-covalent
CC(=O)N1CC[NH+](CC1)Cc2cccc(c2)C#N,x2483,x2483,Mpro-x2483,Z46180946,OK: Clear:Normal,success,2.05,7 - Analysed & Rejected,None,-8.765173,x0749,,active-covalent
CC(=O)N1CC[NH+](CC1)Cc2cccc(c2)C#N,x2651,x2651,Mpro-x2651,Z46180946,OK: No comment:No comment,success,1.66,7 - Analysed & Rejected,None,-8.765173,x0749,,active-covalent
c1ccc(c(c1)C(=O)NCCNc2cccnn2)NS(=O)(=O)c3cc(ccc3F)F,x2836,x2836,Mpro-x2836,BAR-COM-4e0-10,OK: Clear:No comment,success,1.89,7 - Analysed & Rejected,None,-8.764250,x0678,,active-noncovalent
CCc1ccc(cc1)c2c(sc(n2)N)C,x0280,x0280,Mpro-x0280,Z48847639,OK: Precipitated:Cracked,success,2.47,7 - Analysed & Rejected,None,-8.756579,x0161,,active-noncovalent
Cc1cc(ccc1NC(=O)[C@@H](c2cccnc2)N(c3ccc4c(c3)scn4)C(=O)C=C)OC,x2468,x2468,Mpro-x2468,Z4438424252,OK: No comment:Normal,success,1.87,7 - Analysed & Rejected,None,-8.756179,x0831,,active-covalent
Cc1cc(ccc1NC(=O)[C@@H](c2cccnc2)N(c3ccc4c(c3)scn4)C(=O)C=C)OC,x2636,x2636,Mpro-x2636,Z4438424252,OK: Precipitated:No comment,None,None,,None,-8.756179,x0831,,active-covalent
c1ccc(c(c1)NC(=S)N)OC(F)(F)F,x0226,x0226,Mpro-x0226,Z291279160,OK: Crystalline:Cracked,success,1.88,7 - Analysed & Rejected,None,-8.755044,x0678,,active-noncovalent
c1ccc(cc1)C(=O)N2CCN(CC2)C(=O)C3CCOCC3,x2567,x2567,Mpro-x2567,Z73335350,OK: No comment:No comment,success,1.83,7 - Analysed & Rejected,None,-8.754841,x0946,,active-noncovalent
C[C@H]1C[N@H+]([C@@H](CO1)C)Cc2c(snn2)Cl,x0587,x0587,Mpro-x0587,Z354992234,OK: No comment:No comment,success,1.97,7 - Analysed & Rejected,None,-8.754675,x0678,,active-noncovalent
CC(=O)N[C@H]1Cc2ccccc2NC1,x1213,x1213,Mpro-x1213,Z1492796719,OK: No comment:No comment,success,1.52,7 - Analysed & Rejected,None,-8.753743,x0195,,active-noncovalent
c1cc(cc(c1)F)C[NH+]2CCOCC2,x0520,x0520,Mpro-x0520,Z2856434791,OK: No comment:No comment,success,2.23,7 - Analysed & Rejected,None,-8.740264,x0678,,active-noncovalent
c1ccnc(c1)NS(=O)(=O)c2ccc(cc2)N,x1119,x1119,Mpro-x1119,Z271004858,OK: No comment:No comment,success,1.44,6 - Deposited,5RF8,-8.735435,x0678,,active-noncovalent
c1ccnc(c1)NS(=O)(=O)c2ccc(cc2)N,x0108,x0108,Mpro-x0108,Z271004858,OK: No comment:No comment,success,3.44,7 - Analysed & Rejected,None,-8.735435,x0678,,active-noncovalent
CCSCC1CCN(CC1)c2ccc(cc2)S(=O)(=O)N,x2819,x2819,Mpro-x2819,WAR-XCH-b72-39,OK: Clear:No comment,success,3.15,7 - Analysed & Rejected,None,-8.731390,x0161,,active-noncovalent
c1cc(cc(c1)O[C@H]2CC(=O)N2)NC(=O)Cc3cncnc3,x2562,x2562,Mpro-x2562,Z4444622180,OK: No comment:No comment,success,2.11,6 - Deposited,5RGU,-8.729742,x0678,,active-noncovalent
c1cnc(nc1)NC2CCCCCC2,x0485,x0485,Mpro-x0485,Z31244728,OK: No comment:No comment,success,1.52,7 - Analysed & Rejected,None,-8.728378,x0678,,active-noncovalent
C1CCC(CC1)CCC(=O)N2CCOCC2,x1110,x1110,Mpro-x1110,Z31721798,OK: No comment:Jelly,success,1.93,7 - Analysed & Rejected,None,-8.724532,x0749,,active-covalent
C1CCC(CC1)CCC(=O)N2CCOCC2,x0565,x0565,Mpro-x0565,Z31721798,OK: No comment:Cracked,success,3.2,7 - Analysed & Rejected,None,-8.724532,x0749,,active-covalent
c1ccc(c(c1)NC(=O)c2cc(ccc2O)Cl)Cl,x2666,x2666,Mpro-x2666,Z241957544,OK: Precipitated:No comment,success,2.2,7 - Analysed & Rejected,None,-8.723997,x0195,,active-noncovalent
c1ccc(c(c1)NC(=O)c2cc(ccc2O)Cl)Cl,x2498,x2498,Mpro-x2498,Z241957544,OK: Clear:Normal,success,1.87,7 - Analysed & Rejected,None,-8.723997,x0195,,active-noncovalent
CNS(=O)(=O)Cc1ccc2c(c1)c(c[nH]2)CC[NH+](C)C,x2669,x2669,Mpro-x2669,Z1544404947,OK: No comment:No comment,success,2.29,7 - Analysed & Rejected,None,-8.722964,x0072,,active-noncovalent
CNS(=O)(=O)Cc1ccc2c(c1)c(c[nH]2)CC[NH+](C)C,x2501,x2501,Mpro-x2501,Z1544404947,OK: Clear:Normal,success,1.76,7 - Analysed & Rejected,None,-8.722964,x0072,,active-noncovalent
C=CC(=O)Nc1c(c2c(s1)CCCC2)C#N,x2548,x2548,Mpro-x2548,PCM-0102455-001,OK: Clear:Normal,success,1.58,7 - Analysed & Rejected,None,-8.713833,x1385,,active-covalent
C=CC(=O)Nc1c(c2c(s1)CCCC2)C#N,x2351,x2351,Mpro-x2351,PCM-0102455-001,OK: Clear:Normal,success,3.04,7 - Analysed & Rejected,None,-8.713833,x1385,,active-covalent
Cc1ccc(cc1O)NC(=O)c2ccco2,x1229,x1229,Mpro-x1229,Z1430613384,OK: Crystalline:No comment,success,1.35,7 - Analysed & Rejected,None,-8.709225,x1093,,active-noncovalent
CNc1c(cc(cn1)C(F)(F)F)Cl,x1078,x1078,Mpro-x1078,Z54628157,OK: Clear:Normal,success,1.55,7 - Analysed & Rejected,None,-8.708693,x0195,,active-noncovalent
CNc1c(cc(cn1)C(F)(F)F)Cl,x0193,x0193,Mpro-x0193,Z54628157,OK: Clear:Normal,success,2.75,7 - Analysed & Rejected,None,-8.708693,x0195,,active-noncovalent
