SMILES,TITLE,fragments,CrystalName,CompoundCode,MountingResult,DataCollectionOutcome,DataProcessingResolutionHigh,RefinementOutcome,Deposition_PDB_ID,Hybrid2,docked_fragment,Mpro-x2643_dock,site,run
c1cc(sc1)C(=O)N2CCN(CC2)C(=O)CCl,x1366,x1366,Mpro-x1366,PCM-0102306,OK: No comment:No comment,success,3.46,7 - Analysed & Rejected,None,-8.973487,x0749,,active-covalent,RUN122
Cc1cc(cc(c1)Cl)NC(=O)Nc2cccnc2,x2826,x2826,Mpro-x2826,Z4444622166,OK: Clear:No comment,success,2.03,7 - Analysed & Rejected,None,-8.949402,x0678,,active-noncovalent,RUN123
Cc1nc2ccccc2n1CCC(=O)N,x1239,x1239,Mpro-x1239,Z53116498,OK: No comment:No comment,Failed - low resolution,3.67,,None,-8.917376,x0678,,active-noncovalent,RUN124
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2384,x2384,Mpro-x2384,melatonine,OK: Clear:Normal,success,1.68,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent,RUN125
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2391,x2391,Mpro-x2391,melatonine,OK: Clear:Normal,success,1.69,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent,RUN126
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2503,x2503,Mpro-x2503,Z1191880499,OK: Clear:Normal,success,2.18,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent,RUN127
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2378,x2378,Mpro-x2378,melatonine,OK: Clear:Cracked,success,1.79,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent,RUN128
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2385,x2385,Mpro-x2385,melatonine,OK: Clear:Normal,success,1.7,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent,RUN129
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2388,x2388,Mpro-x2388,melatonine,OK: Clear:Normal,success,1.74,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent,RUN130
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2381,x2381,Mpro-x2381,melatonine,OK: Clear:Normal,success,1.92,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent,RUN131
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2397,x2397,Mpro-x2397,melatonine,OK: Clear:Normal,success,1.97,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent,RUN132
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2671,x2671,Mpro-x2671,Z1191880499,OK: No comment:No comment,success,2.04,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent,RUN133
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2399,x2399,Mpro-x2399,melatonine,OK: Clear:Normal,success,2.48,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent,RUN134
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2400,x2400,Mpro-x2400,melatonine,OK: Clear:Normal,success,1.87,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent,RUN135
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2355,x2355,Mpro-x2355,melatonine,OK: Clear:Cracked,None,None,,None,-8.913157,x0104,,active-noncovalent,RUN136
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2392,x2392,Mpro-x2392,melatonine,OK: Clear:Cracked,success,1.74,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent,RUN137
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,x2460,x2460,Mpro-x2460,melatonine,OK: Clear:Normal,success,1.76,7 - Analysed & Rejected,None,-8.913157,x0104,,active-noncovalent,RUN138
C[C@@H]1CCCN(C1)C(=O)C2CCN(CC2)C(=O)CCl,x0817,x0817,Mpro-x0817,PCM-0102933,OK: Clear:Normal,Failed - low resolution,4.3,,None,-8.912820,x0749,,active-covalent,RUN139
C[C@@H]1CCCN(C1)C(=O)C2CCN(CC2)C(=O)CCl,x0707,x0707,Mpro-x0707,PCM-0102933,OK: Clear:Normal,success,2.1,7 - Analysed & Rejected,None,-8.912820,x0749,,active-covalent,RUN140
C[C@@H]1CCCN(C1)C(=O)C2CCN(CC2)C(=O)CCl,x0743,x0743,Mpro-x0743,PCM-0102933,OK: Clear:Normal,success,1.85,7 - Analysed & Rejected,None,-8.912820,x0749,,active-covalent,RUN141
CN(c1ccccc1)C(=O)[C@@H]2CC[NH2+]C2,x0600,x0600,Mpro-x0600,Z2447286438,OK: No comment:No comment,success,2.97,7 - Analysed & Rejected,None,-8.903916,x0749,,active-covalent,RUN142
CN(c1ccccc1)C(=O)[C@@H]2CC[NH2+]C2,x1205,x1205,Mpro-x1205,Z2447286438,OK: No comment:No comment,success,1.67,7 - Analysed & Rejected,None,-8.903916,x0749,,active-covalent,RUN143
c1cc2c(c[nH]c2nc1)CC(=O)NCc3ccc(cc3)C#N,x2645,x2645,Mpro-x2645,Z1400838206,OK: Precipitated:No comment,success,2.39,7 - Analysed & Rejected,None,-8.901452,x0749,,active-covalent,RUN144
c1cc2c(c[nH]c2nc1)CC(=O)NCc3ccc(cc3)C#N,x2477,x2477,Mpro-x2477,Z1400838206,OK: Clear:Normal,success,1.85,7 - Analysed & Rejected,None,-8.901452,x0749,,active-covalent,RUN145
c1ccc(c(c1)C[NH2+]C2CCOCC2)F,x0566,x0566,Mpro-x0566,Z823455846,OK: No comment:Cracked,success,3.16,7 - Analysed & Rejected,None,-8.897429,x0678,,active-noncovalent,RUN146
Cc1ccc(cc1)N2CCN(CC2)C(=O)N,x1071,x1071,Mpro-x1071,Z1650868495,OK: Clear:Normal,success,1.54,7 - Analysed & Rejected,None,-8.886573,x0749,,active-covalent,RUN147
Cc1ccccc1OCC(=O)N(C)C,x0684,x0684,Mpro-x0684,Z19733482,Mounted_Clear,success,1.81,7 - Analysed & Rejected,None,-8.853641,x0195,,active-noncovalent,RUN148
Cc1cc(no1)C(=O)NCC(=O)OC,x0466,x0466,Mpro-x0466,Z375990520,OK: No comment:No comment,success,2.63,7 - Analysed & Rejected,None,-8.849805,x0397,,active-noncovalent,RUN149
Cc1cccc(c1)Nc2c3cnn(c3ncn2)C,x0543,x0543,Mpro-x0543,Z56983806,OK: Phase Separation:No comment,None,None,,None,-8.837940,x0678,,active-noncovalent,RUN150
c1cc(cnc1)NC(=O)Nc2ccc(cc2)C#N,x2653,x2653,Mpro-x2653,Z195735586,OK: Precipitated:No comment,success,1.98,7 - Analysed & Rejected,None,-8.835213,x0749,,active-covalent,RUN151
c1cc(cnc1)NC(=O)Nc2ccc(cc2)C#N,x2485,x2485,Mpro-x2485,Z195735586,OK: Clear:Normal,success,1.82,7 - Analysed & Rejected,None,-8.835213,x0749,,active-covalent,RUN152
C1CCCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x1341,x1341,Mpro-x1341,PCM-0102781,OK: No comment:No comment,None,None,,None,-8.821181,x0749,,active-covalent,RUN153
C1CCCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x1359,x1359,Mpro-x1359,PCM-0102781,OK: No comment:No comment,success,2.23,7 - Analysed & Rejected,None,-8.821181,x0749,,active-covalent,RUN154
C1CCCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x0742,x0742,Mpro-x0742,PCM-0102781,OK: Clear:Normal,success,1.78,7 - Analysed & Rejected,None,-8.821181,x0749,,active-covalent,RUN155
Cn1nc(nn1)NC(=O)c2ccc(cc2)F,x0640,x0640,Mpro-x0640,Z57292433,Mounted_Clear,success,2.41,7 - Analysed & Rejected,None,-8.800728,x0678,,active-noncovalent,RUN156
Cc1ccccc1[C@@H]2COC[C@@H]2C(=O)[O-],x0898,x0898,Mpro-x0898,POB0135,OK: No comment:No comment,Failed - low resolution,3.73,,None,-8.796511,x1392,,active-covalent,RUN157
c1cc(cc(c1)Cl)C[NH+]2CCN(CC2)C(=O)CCl,x0770,x0770,Mpro-x0770,PCM-0102269,OK: Clear:Normal,success,1.68,6 - Deposited,5RET,-8.791433,x0831,,active-covalent,RUN158
CS(=O)(=O)Cc1[nH]c2ccccc2n1,x1237,x1237,Mpro-x1237,Z126932614,OK: No comment:No comment,success,1.41,6 - Deposited,5RFD,-8.784011,x0678,,active-noncovalent,RUN159
CC(=O)N1CC[NH+](CC1)Cc2cccc(c2)C#N,x2483,x2483,Mpro-x2483,Z46180946,OK: Clear:Normal,success,2.05,7 - Analysed & Rejected,None,-8.765173,x0749,,active-covalent,RUN160
CC(=O)N1CC[NH+](CC1)Cc2cccc(c2)C#N,x2651,x2651,Mpro-x2651,Z46180946,OK: No comment:No comment,success,1.66,7 - Analysed & Rejected,None,-8.765173,x0749,,active-covalent,RUN161
c1ccc(c(c1)C(=O)NCCNc2cccnn2)NS(=O)(=O)c3cc(ccc3F)F,x2836,x2836,Mpro-x2836,BAR-COM-4e0-10,OK: Clear:No comment,success,1.89,7 - Analysed & Rejected,None,-8.764250,x0678,,active-noncovalent,RUN162
Cc1cc(ccc1NC(=O)[C@@H](c2cccnc2)N(c3ccc4c(c3)scn4)C(=O)C=C)OC,x2468,x2468,Mpro-x2468,Z4438424252,OK: No comment:Normal,success,1.87,7 - Analysed & Rejected,None,-8.756179,x0831,,active-covalent,RUN163
c1cc(cc(c1)F)C[NH+]2CCOCC2,x0520,x0520,Mpro-x0520,Z2856434791,OK: No comment:No comment,success,2.23,7 - Analysed & Rejected,None,-8.740264,x0678,,active-noncovalent,RUN164
c1ccc(c(c1)NC(=O)c2cc(ccc2O)Cl)Cl,x2666,x2666,Mpro-x2666,Z241957544,OK: Precipitated:No comment,success,2.2,7 - Analysed & Rejected,None,-8.723997,x0195,,active-noncovalent,RUN165
CNS(=O)(=O)Cc1ccc2c(c1)c(c[nH]2)CC[NH+](C)C,x2669,x2669,Mpro-x2669,Z1544404947,OK: No comment:No comment,success,2.29,7 - Analysed & Rejected,None,-8.722964,x0072,,active-noncovalent,RUN166
CNS(=O)(=O)Cc1ccc2c(c1)c(c[nH]2)CC[NH+](C)C,x2501,x2501,Mpro-x2501,Z1544404947,OK: Clear:Normal,success,1.76,7 - Analysed & Rejected,None,-8.722964,x0072,,active-noncovalent,RUN167
c1cc(ccc1NC(=O)C[NH+]2CCCC2)F,x0440,x0440,Mpro-x0440,Z2856434942,OK: No comment:No comment,success,2.51,7 - Analysed & Rejected,None,-8.676518,x0161,,active-noncovalent,RUN168
c1ccc(cc1)NC(=O)c2cc(ccc2O)Cl,x2655,x2655,Mpro-x2655,Z56871780,OK: Precipitated:No comment,success,2.07,7 - Analysed & Rejected,None,-8.661772,x0749,,active-covalent,RUN169
C=CC(=O)N1CCN(CC1)C(=O)C23CC4CC(C2)CC(C4)C3,x2031,x2031,Mpro-x2031,PCM-0102682-001,OK: No comment:No comment,success,2.4,7 - Analysed & Rejected,None,-8.649374,x0749,,active-covalent,RUN170
C=CC(=O)N1CCN(CC1)C(=O)C23CC4CC(C2)CC(C4)C3,x2783,x2783,Mpro-x2783,PCM-0102682-001,OK: Clear:No comment,success,1.64,7 - Analysed & Rejected,None,-8.649374,x0749,,active-covalent,RUN171
C=CC(=O)N1CCN(CC1)C(=O)C23CC4CC(C2)CC(C4)C3,x2772,x2772,Mpro-x2772,PCM-0102682-001,OK: Clear:No comment,success,1.84,7 - Analysed & Rejected,None,-8.649374,x0749,,active-covalent,RUN172
C[NH2+]Cc1ccc(cc1)C(F)(F)F,x0136,x0136,Mpro-x0136,Z2856434809,OK: Clear:Normal,success,2.17,7 - Analysed & Rejected,None,-8.638557,x0195,,active-noncovalent,RUN173
COc1ccc2c(c1)sc(n2)NC(=O)C3CC3,x1089,x1089,Mpro-x1089,Z27678561,OK: Precipitated:No comment,success,1.63,7 - Analysed & Rejected,None,-8.622681,x0749,,active-covalent,RUN174
c1cc(cc(c1)NC(=O)Nc2cc(cnc2)N)C#N,x2863,x2863,Mpro-x2863,Z4444622224,OK: Clear:No comment,success,3.16,7 - Analysed & Rejected,None,-8.612061,x0749,,active-covalent,RUN175
CC1(CN(C[C@@H]1O)c2c(cccn2)F)C,x0458,x0458,Mpro-x0458,Z1929757385,OK: No comment:No comment,success,2.28,7 - Analysed & Rejected,None,-8.574858,x0749,,active-covalent,RUN176
CC1(CN(C[C@@H]1O)c2c(cccn2)F)C,x1197,x1197,Mpro-x1197,Z1929757385,OK: No comment:No comment,success,1.59,7 - Analysed & Rejected,None,-8.574858,x0749,,active-covalent,RUN177
c1cc(ncc1N2CCCOCC2)C#N,x1048,x1048,Mpro-x1048,Z1348371854,OK: Clear:Normal,success,1.86,7 - Analysed & Rejected,None,-8.573239,x0749,,active-covalent,RUN178
Cc1ccc(c(c1)NC(=O)Nn2cnnc2)OC,x0529,x0529,Mpro-x0529,Z2234920345,OK: No comment:No comment,success,1.99,7 - Analysed & Rejected,None,-8.562340,x0678,,active-noncovalent,RUN179
c1cc(sc1)C[NH+]2CCN(CC2)C(=O)CCl,x2779,x2779,Mpro-x2779,Z147647874,OK: Clear:No comment,success,1.51,6 - Deposited,5RHA,-8.544258,x0831,,active-covalent,RUN180
c1cc(sc1)C[NH+]2CCN(CC2)C(=O)CCl,x2765,x2765,Mpro-x2765,Z147647874,OK: Clear:No comment,success,1.79,7 - Analysed & Rejected,None,-8.544258,x0831,,active-covalent,RUN181
c1cc(sc1)C[NH+]2CCN(CC2)C(=O)CCl,x2729,x2729,Mpro-x2729,Z147647874,OK: Clear:No comment,success,1.66,7 - Analysed & Rejected,None,-8.544258,x0831,,active-covalent,RUN182
c1cc(sc1)C[NH+]2CCN(CC2)C(=O)CCl,x0693,x0693,Mpro-x0693,PCM-0102243,OK: Clear:Normal,success,1.84,7 - Analysed & Rejected,None,-8.544258,x0831,,active-covalent,RUN183
c1cscc1C[NH+]2CCN(CC2)C(=O)CCl,x2743,x2743,Mpro-x2743,Z2608820553,OK: Clear:No comment,success,1.59,6 - Deposited,None,-8.542832,x0831,,active-covalent,RUN184
c1cscc1C[NH+]2CCN(CC2)C(=O)CCl,x1485,x1485,Mpro-x1485,PCM-0102739,OK: No comment:No comment,success,1.81,7 - Analysed & Rejected,None,-8.542832,x0831,,active-covalent,RUN185
c1cscc1C[NH+]2CCN(CC2)C(=O)CCl,x2730,x2730,Mpro-x2730,Z2608820553,OK: Clear:No comment,success,1.9,7 - Analysed & Rejected,None,-8.542832,x0831,,active-covalent,RUN186
Cc1ccc(nc1)NC(=O)[C@H]2CCCO2,x1210,x1210,Mpro-x1210,Z71580604,OK: No comment:No comment,success,1.37,7 - Analysed & Rejected,None,-8.540951,x0749,,active-covalent,RUN187
CC(=O)Nc1ccc(cc1)CC(=O)N,x0087,x0087,Mpro-x0087,Z87615031,OK: No comment:No comment,success,2.22,7 - Analysed & Rejected,None,-8.540783,x1385,,active-covalent,RUN188
c1cc(oc1)C(=O)NCCc2ccc(cc2)F,x0444,x0444,Mpro-x0444,Z26769872,OK: No comment:No comment,success,1.45,7 - Analysed & Rejected,None,-8.540394,x0678,,active-noncovalent,RUN189
CCCn1c2ccccc2nc1NC(=O)CC,x0681,x0681,Mpro-x0681,Z29077827,Mounted_Clear,success,1.92,7 - Analysed & Rejected,None,-8.521357,x0195,,active-noncovalent,RUN190
C[NH2+]C[C@H]1COc2ccccc2O1,x1242,x1242,Mpro-x1242,Z1891773476,OK: No comment:No comment,success,1.75,7 - Analysed & Rejected,None,-8.505136,x0195,,active-noncovalent,RUN191
C[C@H](c1ccc(cc1)c2cncnc2)[NH3+],x0092,x0092,Mpro-x0092,Z1696822287,OK: No comment:No comment,success,2.42,7 - Analysed & Rejected,None,-8.504209,x0104,,active-noncovalent,RUN192
COc1ccc(cc1)N2C[C@H](CC2=O)C(=O)N,x1153,x1153,Mpro-x1153,Z57324924,OK: No comment:No comment,success,1.56,7 - Analysed & Rejected,None,-8.492237,x0749,,active-covalent,RUN193
c1ccc(cc1)NC(=O)C2CCN(CC2)C(=O)CCl,x2750,x2750,Mpro-x2750,PG-COV-2,OK: Clear:No comment,None,None,,None,-8.482620,x0749,,active-covalent,RUN194
c1ccc(cc1)NC(=O)C2CCN(CC2)C(=O)CCl,x0814,x0814,Mpro-x0814,PCM-0102219,OK: Clear:Normal,success,1.89,7 - Analysed & Rejected,None,-8.482620,x0749,,active-covalent,RUN195
c1ccc(cc1)NC(=O)C2CCN(CC2)C(=O)CCl,x0760,x0760,Mpro-x0760,PCM-0102219,OK: Clear:Normal,success,2.22,7 - Analysed & Rejected,None,-8.482620,x0749,,active-covalent,RUN196
c1ccc(cc1)NC(=O)C2CCN(CC2)C(=O)CCl,x2725,x2725,Mpro-x2725,PG-COV-2,OK: Clear:No comment,success,1.78,7 - Analysed & Rejected,None,-8.482620,x0749,,active-covalent,RUN197
c1ccc(cc1)NC(=O)C2CCN(CC2)C(=O)CCl,x1357,x1357,Mpro-x1357,PCM-0102219,OK: No comment:No comment,success,2.71,7 - Analysed & Rejected,None,-8.482620,x0749,,active-covalent,RUN198
c1ccc(cc1)NC(=O)C2CCN(CC2)C(=O)CCl,x0740,x0740,Mpro-x0740,PCM-0102219,OK: Clear:Normal,success,2.14,7 - Analysed & Rejected,None,-8.482620,x0749,,active-covalent,RUN199
c1ccc(cc1)NC(=O)C2CCN(CC2)C(=O)CCl,x2768,x2768,Mpro-x2768,PG-COV-2,OK: Clear:No comment,success,1.9,7 - Analysed & Rejected,None,-8.482620,x0749,,active-covalent,RUN200
CN(Cc1cccc(c1)C(F)(F)F)C(=O)CCl,x0704,x0704,Mpro-x0704,PCM-0102987,OK: Clear:Normal,success,2.3,7 - Analysed & Rejected,None,-8.473181,x0749,,active-covalent,RUN201
CN(Cc1cccc(c1)C(F)(F)F)C(=O)CCl,x1441,x1441,Mpro-x1441,PCM-0102987,OK: No comment:No comment,success,2.21,7 - Analysed & Rejected,None,-8.473181,x0749,,active-covalent,RUN202
Cc1ccc(c(c1)O)NC(=O)c2ccccc2C,x0515,x0515,Mpro-x0515,Z33452282,OK: No comment:No comment,success,1.79,7 - Analysed & Rejected,None,-8.473072,x1093,,active-noncovalent,RUN203
Cc1cccc(n1)[N@]2CC[NH2+][C@@H](C2)C,x0537,x0537,Mpro-x0537,Z1267885772,OK: No comment:No comment,success,2.36,7 - Analysed & Rejected,None,-8.469460,x0195,,active-noncovalent,RUN204
Cc1cccc(n1)[N@]2CC[NH2+][C@@H](C2)C,x1188,x1188,Mpro-x1188,Z1267885772,OK: No comment:Cracked,success,2.19,7 - Analysed & Rejected,None,-8.469460,x0195,,active-noncovalent,RUN205
C[C@H](c1ccc(cc1)NC(=O)C2CC2)[NH3+],x0589,x0589,Mpro-x0589,Z1891773393,OK: No comment:No comment,success,1.65,7 - Analysed & Rejected,None,-8.462635,x0749,,active-covalent,RUN206
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)NCC#CBr,x0984,x0984,Mpro-x0984,NCL-00025550 ,OK: No comment:No comment,success,1.92,7 - Analysed & Rejected,None,-8.446019,x0678,,active-noncovalent,RUN207
CN(c1ccccc1)C(=O)C2CCN(CC2)C(=O)CCl,x2754,x2754,Mpro-x2754,PG-COV-34,OK: Clear:No comment,success,1.76,6 - Deposited,5RHF,-8.441025,x0749,,active-covalent,RUN208
CN(c1ccccc1)C(=O)C2CCN(CC2)C(=O)CCl,x2739,x2739,Mpro-x2739,PG-COV-34,OK: Clear:No comment,Failed - low resolution,3.33,,None,-8.441025,x0749,,active-covalent,RUN209
c1c[nH+]ccc1N2CCC(CC2)C(=O)N3CCOCC3,x2845,x2845,Mpro-x2845,GIA-UNK-30c-2,OK: Clear:No comment,success,3.07,7 - Analysed & Rejected,None,-8.439287,x0072,,active-noncovalent,RUN210
c1ccc(c(c1)N2CCN(CC2)C(=O)CCl)N(=O)=O,x0734,x0734,Mpro-x0734,PCM-0103016,OK: Clear:Normal,success,1.96,6 - Deposited,5REM,-8.431313,x0749,,active-covalent,RUN211
C[C@H](C(=O)Nc1cc(n[nH]1)C(F)(F)F)[NH3+],x1142,x1142,Mpro-x1142,Z1622626423,OK: No comment:No comment,success,2.43,7 - Analysed & Rejected,None,-8.421195,x0161,,active-noncovalent,RUN212
CC(C)NC(=O)c1ccc2ccccc2n1,x0538,x0538,Mpro-x0538,Z31385861,OK: No comment:No comment,Failed - low resolution,4.08,,None,-8.411561,x0195,,active-noncovalent,RUN213
c1cc(ccc1NC(=S)N)OC(F)(F)F,x1243,x1243,Mpro-x1243,Z1741960769,OK: Precipitated:No comment,success,1.81,7 - Analysed & Rejected,None,-8.400145,x0749,,active-covalent,RUN214
COC(=O)Nc1nnc(s1)CC2CCCC2,x0660,x0660,Mpro-x0660,Z1119505742,Mounted_Clear,success,1.47,7 - Analysed & Rejected,None,-8.395270,x0678,,active-noncovalent,RUN215
c1cc(cc(c1)NC(=O)Cc2c[nH]c3c2cccn3)C#N,x2677,x2677,Mpro-x2677,Z1400784309,OK: No comment:No comment,success,2.14,7 - Analysed & Rejected,None,-8.394180,x0830,,active-covalent,RUN216
C[NH2+]CCC1CCCCC1,x0158,x0158,Mpro-x0158,Z2856434901,OK: Clear:Normal,success,1.67,7 - Analysed & Rejected,None,-8.391209,x0195,,active-noncovalent,RUN217
c1ccc(c(c1)C#N)S(=O)(=O)N2CCN(CC2)C(=O)CCl,x1335,x1335,Mpro-x1335,PCM-0102395,OK: No comment:No comment,success,2.26,7 - Analysed & Rejected,None,-8.382928,x0831,,active-covalent,RUN218
C[NH2+]Cc1ccncc1,x1211,x1211,Mpro-x1211,Z2856434786,OK: No comment:No comment,success,1.5,7 - Analysed & Rejected,None,-8.380624,x0540,,active-noncovalent,RUN219
c1ccc(c(c1)C(=O)NCc2cnsc2)OCC#N,x2742,x2742,Mpro-x2742,Z4444621965,OK: Clear:No comment,success,1.86,7 - Analysed & Rejected,None,-8.371911,x0830,,active-covalent,RUN220
c1ccc(c(c1)C(=O)NCc2cnsc2)OCC#N,x2764,x2764,Mpro-x2764,Z4444621965,OK: Clear:No comment,success,1.81,6 - Deposited,5RH8,-8.371911,x0830,,active-covalent,RUN221
c1ccc(cc1)CCCC(=O)N2CCOCC2,x0449,x0449,Mpro-x0449,Z419995480,OK: No comment:No comment,success,1.63,7 - Analysed & Rejected,None,-8.367527,x0749,,active-covalent,RUN222
C[NH+]1CCN(CC1)C(=O)Nc2ccc(cc2)F,x1066,x1066,Mpro-x1066,Z2856434944,OK: Clear:Normal,success,1.84,7 - Analysed & Rejected,None,-8.338463,x0104,,active-noncovalent,RUN223
c1ccc(cc1)C(=O)NC2CCN(CC2)C(=O)CCl,x1313,x1313,Mpro-x1313,PCM-0102575,OK: No comment:No comment,success,2.34,7 - Analysed & Rejected,None,-8.333139,x0749,,active-covalent,RUN224
c1ccc(cc1)C(=O)NC2CCN(CC2)C(=O)CCl,x0725,x0725,Mpro-x0725,PCM-0102575,OK: Clear:Normal,success,1.74,7 - Analysed & Rejected,None,-8.333139,x0749,,active-covalent,RUN225
c1ccc(cc1)CN[C@H]2CC[NH2+]C2,x0477,x0477,Mpro-x0477,Z1827898537,OK: No comment:No comment,success,3.47,7 - Analysed & Rejected,None,-8.310785,x0161,,active-noncovalent,RUN226
CN1CC[C@@H](C1=O)Oc2cccc(c2)F,x0544,x0544,Mpro-x0544,Z1217960891,OK: No comment:No comment,success,2.14,7 - Analysed & Rejected,None,-8.303802,x0749,,active-covalent,RUN227
COc1ccc(cc1)NC(=O)Nc2ccncc2,x0448,x0448,Mpro-x0448,Z321318226,OK: No comment:No comment,success,2.1,7 - Analysed & Rejected,None,-8.300281,x0678,,active-noncovalent,RUN228
c1cc(ccc1C[NH+]2CCOCC2)C(F)(F)F,x0539,x0539,Mpro-x0539,Z2856434871,OK: No comment:No comment,success,2.21,7 - Analysed & Rejected,None,-8.298043,x0749,,active-covalent,RUN229
c1c[nH+]c(cc1N2CCCC2)C(=O)N,x0658,x0658,Mpro-x0658,Z145119960,Mounted_Clear,success,1.44,7 - Analysed & Rejected,None,-8.296037,x0195,,active-noncovalent,RUN230
c1cc(ccc1C[N@H+]2CC[C@H](C2)O)Cl,x0654,x0654,Mpro-x0654,Z2856434858,Mounted_Clear,success,2.68,7 - Analysed & Rejected,None,-8.292242,x0749,,active-covalent,RUN231
Cc1c(cccc1Cl)NC(=O)C[NH3+],x0676,x0676,Mpro-x0676,Z85956652,Mounted_Clear,success,2.01,7 - Analysed & Rejected,None,-8.277519,x0749,,active-covalent,RUN232
CCCn1c(ccn1)c2ccncc2,x1091,x1091,Mpro-x1091,Z1381484542,OK: No comment:No comment,success,2.1,7 - Analysed & Rejected,None,-8.268024,x0072,,active-noncovalent,RUN233
CCCn1c(ccn1)c2ccncc2,x0162,x0162,Mpro-x0162,Z1381484542,OK: Clear:Normal,success,2.93,7 - Analysed & Rejected,None,-8.268024,x0072,,active-noncovalent,RUN234
c1cc(oc1)C(=O)N2CCN(CC2)C(=O)CCl,x1481,x1481,Mpro-x1481,PCM-0102248,OK: No comment:No comment,success,3.27,7 - Analysed & Rejected,None,-8.267857,x0749,,active-covalent,RUN235
c1cc(oc1)C(=O)N2CCN(CC2)C(=O)CCl,x0736,x0736,Mpro-x0736,PCM-0102248,OK: Clear:Normal,success,1.74,6 - Deposited,5RGO,-8.267857,x0749,,active-covalent,RUN236
CC(=O)c1cccc(c1)NC(=O)C(F)(F)F,x0438,x0438,Mpro-x0438,Z57111868,OK: No comment:No comment,success,2.46,7 - Analysed & Rejected,None,-8.266839,x0195,,active-noncovalent,RUN237
C1CCC(C1)[NH2+]C[C@@H]2CCCO2,x0562,x0562,Mpro-x0562,Z90504169,OK: No comment:No comment,success,1.68,7 - Analysed & Rejected,None,-8.265560,x0678,,active-noncovalent,RUN238
c1ccc(cc1)S(=O)(=O)[N@@]2CC[C@@H](C2)[NH3+],x1250,x1250,Mpro-x1250,Z2443429438,OK: No comment:No comment,success,1.51,7 - Analysed & Rejected,None,-8.265256,x0749,,active-covalent,RUN239
c1ccc(cc1)S(=O)(=O)[N@@]2CC[C@@H](C2)[NH3+],x0489,x0489,Mpro-x0489,Z2443429438,OK: No comment:No comment,Failed - low resolution,4.33,,None,-8.265256,x0749,,active-covalent,RUN240
COc1cc(cc(c1OC)OC)C[NH3+],x0118,x0118,Mpro-x0118,Z1741959530,OK: Clear:Normal,success,1.77,7 - Analysed & Rejected,None,-8.253920,x0195,,active-noncovalent,RUN241
c1cc(cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)CCl)F,x0691,x0691,Mpro-x0691,PCM-0102327,OK: Clear:Normal,success,1.74,6 - Deposited,5REK,-8.249612,x0830,,active-covalent,RUN242
c1cc(cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)CCl)F,x2791,x2791,Mpro-x2791,Z147647642,OK: Clear:No comment,success,1.57,3 - In Refinement,None,-8.249612,x0830,,active-covalent,RUN243
c1cc(sc1C[NH+]2CCN(CC2)C(=O)CCl)Cl,x1334,x1334,Mpro-x1334,PCM-0102277,OK: No comment:No comment,success,1.58,6 - Deposited,5RFH,-8.249142,x0749,,active-covalent,RUN244
c1cc(sc1C[NH+]2CCN(CC2)C(=O)CCl)Cl,x0698,x0698,Mpro-x0698,PCM-0102277,OK: Clear:Normal,success,1.82,7 - Analysed & Rejected,None,-8.249142,x0749,,active-covalent,RUN245
COC(=O)c1ccc(cc1)NC(=O)C(F)(F)F,x0616,x0616,Mpro-x0616,Z56767614,Mounted_Clear,success,1.87,7 - Analysed & Rejected,None,-8.248976,x0749,,active-covalent,RUN246
