compound_name,compound_structure,measurement,qualifier,reassigned_structure 
PET-UNK-ac320b15-9,c1ccc2c(c1)cncc2NC(=O)[C@@H](c3cccc(c3)Cl)NC(=O)[C@H]4CC[C@H](O4)C(=O)N5CCCC5,4.5,=,
UNK-CYC-68f84b31−86,c1cc([nH]c1C#N)C(=O)N2C[C@H](C[C@H]2CNC(=O)C3CCCC3O)F,4,<,
UNK-CYC-68f84b31−70,c1ccc(cc1)COC(=O)NNC(=O)c2cccc(c2)n3c(ccn3)C(F)(F)F,4,<,
UNK-CYC-68f84b31−67,CC(C(=O)OC1CCCN(C1=O)Cc2cccc(c2)C(F)(F)F)n3cnc(n3)C#N,5,=,
BEN-DND-03406596-12,C[C@H](c1ccccc1)C(=O)Nc2cncnc2,4,<,
BEN-DND-03406596-11,C[C@@H](c1ccccc1)C(=O)Nc2cncnc2,4,<,
BEN-DND-03406596-8,c1cc(ccc1F)S(=O)(=O)N2CCCN(CC2)C(=O)CCl,4.4,=,
PET-UNK-b1ef24dc-3,c1cc(cc(c1)Cl)CC(=O)Nc2cncc3c2cno3,4.3,=,
PET-UNK-b1ef24dc-1,c1cc(cc(c1)Cl)CC(=O)Nc2cncc3c2onc3,4.6,=,
EDJ-MED-76744c27-4,COC1(CC1)CS(=O)(=O)N2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cccc5)Cl,7,=,
ALP-POS-82da25a3-1,c1cc2c(cc1CO)cncc2NC(=O)C3CCOc4c3cc(cc4)Cl,5.9,=,
EDJ-MED-076d6e64-1,c1cc(cc(c1)Cl)CC(=O)Nc2cncn3c2nnc3,4,<,
EDJ-MED-015fb6b4-2,CNC(=O)CN1CC(c2cc(ccc2C1=O)Cl)C(=O)Nc3cncc4c3cccc4,7.3,>,
PET-UNK-2c6614b6-5,c1cc2c(cc1F)cncc2NC(=O)[C@@H]3CCS(=O)(=O)c4c3cc(cc4)Cl,6.5,=,
MAT-POS-24589f88-16,Cn1ccc(n1)CN2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cc(cc5)F)Cl,5.9,=,
MAT-POS-24589f88-15,c1ccc2c(c1)cncc2NC(=O)C3(CCOc4c3cc(cc4)Cl)CNCc5ccc(cc5)N6CCNC(=O)C6,5.1,=,
MAT-POS-24589f88-14,CN1CCN(C(=O)C1c2cccc(c2)Cl)c3cncc4c3cccc4,5.7,=,
MAT-POS-24589f88-13,CNS(=O)(=O)c1cc(ccc1F)CNCC2(CCOc3c2cc(cc3)Cl)C(=O)Nc4cncc5c4cccc5,5.8,=,
MAT-POS-24589f88-12,c1ccc2c(c1)cncc2NC(=O)C3(CCOc4c3cc(cc4)Cl)CNCc5ccc(cc5)S(=O)(=O)N,5.6,=,
MAT-POS-24589f88-11,c1ccc2c(c1)cncc2NC(=O)C3(CCOc4c3cc(cc4)Cl)NC(=O)C5CCC(O5)C(=O)N6CCCC6,5.6,=,
MAT-POS-24589f88-10,Cn1cc(n2c1c(cn2)C#N)CNCC3(CCOc4c3cc(cc4)Cl)C(=O)Nc5cncc6c5cccc6,4.9,=,
MAT-POS-24589f88-9,c1ccc2c(c1)cncc2NC(=O)C3(CCOc4c3cc(cc4)Cl)CNCc5ccc(c(c5)F)S(=O)(=O)N,5.7,=,
MAT-POS-24589f88-8,c1ccc2c(c1)cncc2NC(=O)C3(CCOc4c3cc(cc4)Cl)CNCc5ccc(nc5)n6ccc(n6)C(=O)N,5.2,=,
MAT-POS-24589f88-7,CNC(=O)COc1ccc(cc1OC)CNCC2(CCOc3c2cc(cc3)Cl)C(=O)Nc4cncc5c4cccc5,4.9,=,
MAT-POS-24589f88-6,c1ccc2c(c1)cncc2NC(=O)C3(CCOc4c3cc(cc4)Cl)CNCc5c(nc6ccccn6c5=O)N7CCOCC7,4.9,=,
MAT-POS-24589f88-5,Cc1nc(cs1)CN2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cc(cc5)F)Cl,6,=,
MAT-POS-24589f88-4,c1ccc2c(c1)cncc2NC(=O)C3(CCOc4c3cc(cc4)Cl)CNCc5cn(nn5)CC6CCCO6,5.1,=,
MAT-POS-24589f88-3,CS(=O)(=O)N1Cc2ccc(cc2[C@@H](C1)C(=O)Nc3cncc4c3cccc4)Cl,6.8,=,
MAT-POS-24589f88-2,CS(=O)(=O)N1Cc2ccc(cc2[C@H](C1)C(=O)Nc3cncc4c3cccc4)Cl,4.9,=,
MAT-POS-24589f88-1,COc1ccc2cncc(c2c1)NC(=O)[C@]3(CCOc4c3cc(cc4)Cl)OC,5.4,=,
ALP-POS-a2344586-3,CC(C)(C)c1ccc(cc1)N(C(c2cc(=O)[nH]c3c2cccc3)C(=O)NCCc4cccc(c4)F)C(=O)c5c[nH]cn5,5.9,=,
ALP-POS-a2344586-1,CC(C)(C)c1ccc(cc1)N(C(c2cc(=O)[nH]c3c2cccc3)C(=O)NCCc4cccc(c4)F)C(=O)c5ccco5,5.6,=,
EDJ-MED-ee742daa-4,CN(C)S(=O)(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cnccc3C(F)(F)F)Cl,4.5,=,
MAT-POS-dc2604c4-3,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CNC5)C#N,6.8,=,
MAT-POS-dc2604c4-1,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CC5)C#N,7.2,>,
EDJ-MED-1981ceba-5,CN1CCN(CC1)S(=O)(=O)N2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cccc5)Cl,6.9,=,
EDJ-MED-1981ceba-4,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)N5CC(C5)C#N,7.2,=,
EDJ-MED-1981ceba-3,COC1CN(C1)S(=O)(=O)N2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cccc5)Cl,7.2,=,
EDJ-MED-1981ceba-2,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)N5CCC5,6.8,=,
EDJ-MED-1981ceba-1,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)N5CCOCC5,6.9,=,
EDJ-MED-fa7708b3-3,Cc1nc([nH]n1)CN2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cccc5)Cl,6.1,=,
EDJ-MED-fa7708b3-2,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)Cc5[nH]ncn5,6.1,=,
EDJ-MED-e18764cb-2,c1ccc2c(c1)cncc2NC(=O)C3CNS(=O)(=O)c4c3cc(cc4)Cl,6.5,=,
PET-UNK-e274cad4-6,Cn1ccc2c1c(cnc2)NC(=O)Cc3cccc(c3)Cl,5.8,=,
JAR-KUA-41bd5a3d-19,CCN(CC)S(=O)(=O)c1ccc(cc1)S(=O)(=O)N2CCN(CC2)S(=O)(=O)N,4,<,
JAR-KUA-41bd5a3d-18,c1ccc(cc1)S(=O)(=O)NCCN2CC(Cc3c2cccc3)S(=O)(=O)N,4,<,
JAR-KUA-41bd5a3d-17,Cc1c(n2ccsc2n1)c3nc(on3)c4cc(cc(c4)OC)OC,4,<,
JAR-KUA-41bd5a3d-16,c1ccc(c(c1)[N+](=O)[O-])S(=O)(=O)NCCNS(=O)(=O)N,4,<,
JAR-KUA-41bd5a3d-15,Cc1csc2n1c(c(n2)C)CN3CCN(CC3)Cc4ccsc4,4,<,
JAR-KUA-41bd5a3d-14,CCS(=O)(=O)c1ccc(s1)CNS(=O)(=O)c2cnc(s2)c3ccccc3,4,<,
JAR-KUA-41bd5a3d-13,CN(C)S(=O)(=O)N1CCN(CC1)C(=O)C2Nc3ccccc3S(=O)(=O)N2,4,<,
JAR-KUA-41bd5a3d-12,Cc1c(sc(c1S(=O)(=O)NCc2ccccc2COC)C)C,4,<,
JAR-KUA-41bd5a3d-11,Cc1ccc(cc1)S(=O)(=O)NCCNC(=O)N2CCN(CC2)S(=O)(=O)N3CCCC3,4,<,
JAR-KUA-41bd5a3d-10,CCS(=O)(=O)c1cc(cc(c1)Cl)CNS(=O)(=O)c2cccs2,4,<,
JAR-KUA-41bd5a3d-9,Cc1ccc(cc1)S(=O)(=O)NCC(=O)N2CCC(CC2)NS(=O)(=O)N,4,<,
JAR-KUA-41bd5a3d-8,Cc1c(sc(n1)c2ccccc2)c3nnc(o3)c4cc(cs4)COC,4,<,
JAR-KUA-41bd5a3d-7,CCS(=O)(=O)c1c(cccc1Cl)CNC(c2cccc(c2)F)C3CC3,4,<,
JAR-KUA-41bd5a3d-6,Cc1csc2n1c(=O)c(cn2)C(=O)N3C4CCC3c5c4cccc5,4,<,
JAR-KUA-41bd5a3d-4,Cc1c(sc(n1)N2CCN(CC2)S(=O)(=O)c3ccccc3)S(=O)(=O)N,4,<,
JAR-KUA-41bd5a3d-3,Cc1c(sc(n1)C)S(=O)(=O)NCC2CCCC3C2C3,4,<,
JAR-KUA-41bd5a3d-2,c1ccc(cc1)C(c2ccccc2)N3CCN(CC3)Cc4cc(oc4)S(=O)(=O)N,4,<,
JAR-KUA-41bd5a3d-1,COCc1cc(sc1)CNC(=O)c2c(cc(cn2)Cl)Cl,4,<,
MAT-POS-afb6844f-4,c1cc2c(cc1Cl)C(CCO2)C(=O)Nc3cncc(c3C4CC4)N,5.3,=,
MAT-POS-afb6844f-2,Cc1c(cncc1N(C)C)NC(=O)C2CCOc3c2cc(cc3)Cl,4,<,
MAT-POS-afb6844f-1,Cc1c(cncc1NC(=O)C2CCOc3c2cc(cc3)Cl)NC,4.5,=,
MAT-POS-61f37a1a-15,Cn1c(nc2c1c(=O)[nH]c(=O)n2C)CNCC3(CCOc4c3cc(cc4)Cl)C(=O)Nc5cncc6c5cccc6,4,<,
MAT-POS-61f37a1a-14,c1cc2cncc(c2cc1F)N3C(=O)C4(COc5c4cc(cc5)Cl)NC3=O,5.9,=,
MAT-POS-61f37a1a-13,Cc1[nH]cc(n1)CN2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cc(cc5)F)Cl,6.5,=,
MAT-POS-61f37a1a-12,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)CC#N,6.5,=,
MAT-POS-61f37a1a-11,COC(=O)CCc1c(con1)CNCC2(CCOc3c2cc(cc3)Cl)C(=O)Nc4cncc5c4cccc5,5.6,=,
MAT-POS-61f37a1a-10,COC(=O)c1cnc(cn1)Cn2ccc(n2)CNCC3(CCOc4c3cc(cc4)Cl)C(=O)Nc5cncc6c5cccc6,5.5,=,
MAT-POS-61f37a1a-9,c1ccc2c(c1)cncc2NC(=O)C3(CCOc4c3cc(cc4)Cl)CNCc5cnc(nc5)N6CCOCC6,4.8,=,
MAT-POS-61f37a1a-8,Cc1c(c(n(n1)C)N2CCOCC2)CNCC3(CCOc4c3cc(cc4)Cl)C(=O)Nc5cncc6c5cccc6,5,=,
MAT-POS-61f37a1a-7,c1ccc2c(c1)cncc2NC(=O)C3(CCOc4c3cc(cc4)Cl)CNCc5cn(nn5)CC6CCOC6,5.2,=,
MAT-POS-61f37a1a-6,COc1cc(cc(c1OCC(=O)N)OC)CNCC2(CCOc3c2cc(cc3)Cl)C(=O)Nc4cncc5c4cccc5,4.9,=,
MAT-POS-61f37a1a-5,Cn1cc(nn1)CN2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cc(cc5)F)Cl,6,=,
MAT-POS-61f37a1a-4,CC(C)(C)OC(=O)NCc1c(n(nn1)C)CNCC2(CCOc3c2cc(cc3)Cl)C(=O)Nc4cncc5c4cccc5,5.5,=,
MAT-POS-61f37a1a-3,c1ccc2c(c1)cncc2NC(=O)C3(CCOc4c3cc(cc4)Cl)CNCCN5C(=O)c6ccccc6C5=O,4.8,=,
MAT-POS-61f37a1a-2,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)[C@@H]5CCC[C@H]5O,6.9,=,
MAT-POS-61f37a1a-1,CC(C)(C)OC(=O)NC(CCO)CNCC1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,5.7,=,
MAT-POS-14f31916-5,c1cc2c(cc1Cl)C(CCO2)C(=O)Nc3cncc4c3cc(s4)Cl,6,=,
MAT-POS-14f31916-4,Cc1nc2c(cncc2s1)NC(=O)C3CCOc4c3cc(cc4)Cl,5.5,=,
MAT-POS-14f31916-3,CNC(=O)c1cc2c(cncc2s1)NC(=O)C3CCOc4c3cc(cc4)Cl,6.2,=,
MAT-POS-14f31916-2,c1cc2c(cc1Cl)C(CCO2)C(=O)Nc3cncc4c3cc(s4)C(=O)N,6.1,=,
MAT-POS-d8472c4f-6,Cc1cc2c(cncc2s1)NC(=O)C3CCOc4c3cc(cc4)Cl,6.6,=,
ALP-POS-e6e0c683-3,CS(=O)(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3CCCC4)Cl,6.2,=,
EDJ-MED-6bf93aa8-1,CNS(=O)(=O)c1ccc2c(c1)cncc2NC(=O)C3(CCOc4c3cc(cc4)Cl)OC,6.1,=,
EDJ-MED-b7309adf-2,c1cc2c(cc1Cl)cncc2NC(=O)C3CCS(=O)(=O)c4c3cc(cc4)Cl,6.1,=,
EDJ-MED-b7309adf-1,c1cc2c(cc1F)cncc2NC(=O)C3CCS(=O)(=O)c4c3cc(cc4)Cl,6.1,=,
EDJ-MED-93390d0c-2,CS(=O)(=O)c1ccc2c(c1)cncc2NC(=O)C3CCS(=O)(=O)c4c3cc(cc4)Cl,6.1,=,
MAT-POS-5f1400cf-1,Cn1cc(cn1)N2CCC(C2)CNCC3(CCOc4c3cc(cc4)Cl)C(=O)Nc5cncc6c5cccc6,5.3,=,
MAT-POS-5f1400cf-2,CN(CCO)c1ccc(cn1)CNCC2(CCOc3c2cc(cc3)Cl)C(=O)Nc4cncc5c4cccc5,5.4,=,
EDG-MED-10fcb19e-3,CNS(=O)(=O)c1ccc2cncc(c2c1)NC(=O)C3(CCOc4c3cc(cc4)Cl)OC,6.2,=,
EDG-MED-10fcb19e-1,COC1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cc(cc4)NS(=O)(=O)C,6.8,=,
MAT-POS-ec6d90b7-7,c1cc2cncc(c2cc1F)NC(=O)[C@@H]3CCOc4c3cc(c(c4)F)Cl,6.6,=,YES
MAT-POS-ec6d90b7-6,COc1ccc2cncc(c2c1)NC(=O)[C@@H]3CCNc4c3cc(c(c4)Cl)Cl,7.2,>,YES
MAT-POS-ec6d90b7-5,c1cc2cncc(c2cc1F)NC(=O)[C@@H]3CCNc4c3cc(c(c4)Cl)Cl,6.8,=,YES
MAT-POS-ec6d90b7-4,CO[C@@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cc(cc4)F,4.6,=,
MAT-POS-ec6d90b7-3,c1cncc2c1cncc2NC(=O)[C@H]3CCOc4c3cc(c(c4)F)Cl,4,<,
MAT-POS-ec6d90b7-2,c1ccc2c(c1)cncc2N3C(=O)[C@]4(CCOc5c4cc(cc5)Cl)OC3=O,4,<,
MAT-POS-ec6d90b7-1,c1ccc2c(c1)cncc2N3C(=O)[C@@]4(CCOc5c4cc(cc5)Cl)OC3=O,4.1,=,
MAT-POS-fc9ede84-1,CN(C)C(=O)COCC1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,6.2,=,
MAT-POS-64942dd0-3,CS(=O)(=O)N1Cc2cc(c(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl)F,6.6,=,
EDJ-MED-d1555997-1,CS(=O)(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3c(ccc4)F)Cl,6,=,
RAL-THA-eb6cb89c-2,c1ccc2c(c1)cncc2NC(=O)C34CCC(O3)c5c4cc(cc5)Cl,5,=,
ALP-UNI-dbb9503d-2,COC1(CCCN(C1=O)c2cncc3c2cccc3)c4cccc(c4)Cl,5.7,=,
ALP-UNI-dbb9503d-1,COC1(CCN(C1=O)c2cncc3c2cccc3)c4cccc(c4)Cl,6.3,=,
MAT-POS-a5ef2d74-3,COC1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cncc4,6.1,=,
MAT-POS-a5ef2d74-2,COC1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cc(cc4)F,6.6,=,
MAT-POS-a5ef2d74-1,c1cncc2c1cncc2NC(=O)C3CCOc4c3cc(c(c4)F)Cl,6,=,
MAT-POS-4223bc15-41,Cn1cncc1C(=O)N2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cccc5)Cl,6.7,=,
MAT-POS-4223bc15-40,Cn1c(ccn1)C(=O)N2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cccc5)Cl,6.8,=,
MAT-POS-4223bc15-39,Cc1c(con1)C(=O)N2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cccc5)Cl,6.8,=,
MAT-POS-4223bc15-38,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)C(=O)c5ncco5,6,=,
MAT-POS-4223bc15-37,Cn1c(cnn1)C(=O)N2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cccc5)Cl,6.4,=,
MAT-POS-4223bc15-36,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)C(=O)c5cnco5,6,=,
MAT-POS-4223bc15-33,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)C(=O)CC#N,6.7,=,
MAT-POS-4223bc15-31,Cn1ncc(n1)S(=O)(=O)N2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cccc5)Cl,6.6,=,
MAT-POS-4223bc15-30,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)c5[nH]ccn5,6.7,=,
MAT-POS-4223bc15-28,COCCN1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,5.6,=,
MAT-POS-4223bc15-26,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)CC(F)(F)F,5.5,=,
MAT-POS-4223bc15-25,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)CC(=O)N,6.9,=,
MAT-POS-4223bc15-24,CN(C)C(=O)CN1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,6,=,
MAT-POS-4223bc15-23,CNC(=O)CN1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,7.1,=,
MAT-POS-4223bc15-22,COC(=O)CN1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,5.8,=,
MAT-POS-4223bc15-21,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)CC(=O)O,5.1,=,
MAT-POS-4223bc15-18,CN(C)C(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,6.6,=,
MAT-POS-4223bc15-17,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)C(=O)C5CC5,6.3,=,
MAT-POS-4223bc15-16,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)N5CCCC5CO,5.9,=,
MAT-POS-4223bc15-15,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)C5CNC5,6.6,=,
MAT-POS-4223bc15-14,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5CNC5,6.9,=,
MAT-POS-4223bc15-12,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CCC5)C#N,7.2,=,
MAT-POS-4223bc15-11,CC1CCN(C1)S(=O)(=O)N2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cccc5)Cl,7.3,=,
MAT-POS-4223bc15-8,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)C5CCOC5,6.8,=,
MAT-POS-4223bc15-7,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)C5COC5,6.6,=,
MAT-POS-4223bc15-6,CCS(=O)(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,6.7,=,
MAT-POS-4223bc15-5,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CCO,6.6,=,
MAT-POS-4223bc15-4,COCCS(=O)(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,6.7,=,
MAT-POS-4223bc15-3,c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)C5CC5,6.5,=,
MAT-POS-4223bc15-2,CN(C)S(=O)(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,6.9,=,
MAT-POS-4223bc15-1,CNS(=O)(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,6.8,=,
MAT-POS-e6dd326d-13,CN(C)C(=O)CNCC1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,6.2,=,
MAT-POS-e6dd326d-9,CC(=O)NCC1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,5.5,=,
MAT-POS-e6dd326d-8,C=CC(=O)NCC1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,6.1,=,
MAT-POS-e6dd326d-6,COC(=O)NCC1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,6.2,=,
MAT-POS-e6dd326d-5,CN(C)S(=O)(=O)NCC1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,5.6,=,
MAT-POS-e6dd326d-4,CS(=O)(=O)NCC1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,5.4,=,
MAT-POS-96f51285-6,COc1ccc2cncc(c2c1)NC(=O)C3CCNc4c3cc(c(c4)Cl)Cl,6.9,=,
MAT-POS-96f51285-5,c1cc2cncc(c2cc1F)NC(=O)C3CCOc4c3cc(c(c4)F)Cl,6.5,=,
MAT-POS-96f51285-4,CS(=O)(=O)c1ccc2cncc(c2c1)NC(=O)C3CCOc4c3cc(c(c4)F)Cl,5.8,=,
MAT-POS-96f51285-3,COc1ccc2cncc(c2c1)NC(=O)C3CCOc4c3cc(c(c4)F)Cl,7,=,
MAT-POS-96f51285-2,COC1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cc(cc4)S(=O)(=O)C,6.4,=,
MAT-POS-96f51285-1,COc1ccc2cncc(c2c1)NC(=O)C3(CCOc4c3cc(cc4)Cl)OC,6.9,=,
RAL-THA-6e4c80cf-2,CCOC(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,6.6,=,
MAT-POS-4223bc15-19,COC(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,6.7,=,
MAT-POS-45b13633-3,CN(C)CC1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,4.9,=,
MAT-POS-45b13633-2,CNCC1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,5,=,
KAD-UNI-b13decd3-4,c1ccc2c(c1)cncc2NC(=O)[C@]3(CCOc4c3cc(cc4)Cl)CNCc5ccc(c(c5)F)S(=O)(=O)N,4.6,=,YES
ALP-POS-9c80c481-1,CNC(=O)COCC1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,5.7,=,
ROD-UFR-87309d29-1,c1ccc(cc1)N2CCN(CC2)S(=O)(=O)c3cc4c(cc3CCC(=O)O)OCO4,4,<,
ROD-UFR-7c6582a7-1,CCCc1cc2c(cc1S(=O)(=O)N3CCN(CC3)c4ncccn4)OCO2,4,<,
ROD-UFR-0ea09143-1,CCCc1cc2c(cc1S(=O)(=O)N3CCN(CC3)c4cccc(c4Cl)Cl)OCO2,4,<,
ROD-UFR-d5063330-1,CCCc1cc2c(cc1S(=O)(=O)N3CCN(CC3)c4ccccc4OC)OCO2,4,<,
ROD-UFR-9b69e111-1,Cc1cc2c(cc1S(=O)(=O)N3CCN(CC3)c4ccccc4)OCO2,4,<,
ROD-UFR-d767f115-1,CNS(=O)(=O)c1cc2c(cc1OCc3ccccc3)OCO2,4,<,
ROD-UFR-86d8d6a3-1,c1ccc(cc1)COc2cc3c(cc2S(=O)(=O)Nc4ccccc4)OCO3,4.1,=,
ROD-UFR-74bef589-1,c1ccc(cc1)COc2cc3c(cc2NS(=O)(=O)c4ccccc4)OCO3,4,<,
ROD-UFR-93b30032-1,c1ccc(cc1)COc2cc3c(cc2S(=O)(=O)N4CCOCC4)OCO3,4,<,
MAT-POS-c20a539d-5,c1cc(cc(c1)Cl)CC(=O)Nc2cncc3c2ccc(c3)C#N,5,=,
KAD-UNI-cb0f2bbc-23,CNS(=O)(=O)c1cc(ccc1F)CNC[C@@]2(CCOc3c2cc(cc3)Cl)C(=O)Nc4cncc5c4cccc5,4.4,=,YES
MAT-POS-993cdc78-2,CO[C@@]1(CCOc2c1cc(c(c2)F)Cl)C(=O)Nc3cncc4c3cccc4,4.2,=,YES
MAT-POS-993cdc78-1,CO[C@]1(CCOc2c1cc(c(c2)F)Cl)C(=O)Nc3cncc4c3cccc4,6.9,=,YES
RAL-THA-58fba2bc-1,c1ccc2c(c1)cncc2NC(=O)C3(CCOc4c3cc(cc4)Cl)CC(=O)O,4.5,=,
ALP-POS-a2344586-2,CC(C)(C)c1ccc(cc1)N(C(c2cc(=O)[nH]c3c2cccc3)C(=O)NCCc4cccc(c4)F)C(=O)c5cocn5,5.9,=,
MAT-POS-3ccb8ef6-2,c1ccc2c(c1)cncc2NC(=O)[C@H]3CNCc4c3cc(cc4)Cl,4.5,=,
MAT-POS-3ccb8ef6-1,c1ccc2c(c1)cncc2NC(=O)[C@@H]3CNCc4c3cc(cc4)Cl,6.5,=,
MAT-POS-5369c344-7,c1ccc2c(c1)cncc2NC(=O)C3CCOc4c3cc(cc4OCc5ccncc5)Cl,5.5,=,
MAT-POS-5369c344-6,c1ccc2c(c1)cncc2NC(=O)C3CCOc4c3cc(cc4OCc5cccnc5)Cl,4.6,=,
MAT-POS-5369c344-5,c1ccc2c(c1)cncc2NC(=O)C3CCOc4c3cc(cc4OCc5ccccn5)Cl,5.2,=,
RUB-POS-1325a9ea-24,CC1(C(c2ccccc2N1)NC(=O)Cc3cccc(c3)Cl)C,4,<,
RUB-POS-1325a9ea-22,c1ccc2c(c1)C(=NC2=O)NC(=O)Cc3cccc(c3)Cl,4,<,
RUB-POS-1325a9ea-21,c1ccc2c(c1)CS(=O)(=O)CC2NC(=O)Cc3cccc(c3)Cl,4,<,
RUB-POS-1325a9ea-20,c1ccc2c(c1)COCC2NC(=O)Cc3cccc(c3)Cl,4.2,=,
RUB-POS-1325a9ea-15,Cn1c2cncc(c2cn1)NC(=O)Cc3cccc(c3)Cl,4.5,=,
RUB-POS-1325a9ea-14,Cn1c2c(cncc2NC(=O)Cc3cccc(c3)Cl)cn1,5.8,=,
RUB-POS-1325a9ea-13,c1cc(cc(c1)Cl)CC(=O)Nc2cncc3c2cn[nH]3,4.7,=,
