SMILES,TITLE,Hybrid2,fragments,site
C[C@@H](c1ccc(cc1)n2ccnc2)NC(=O)Nc3ccc(cc3)OC,top_hits_only_mpro-105_1,-8.898511,x0387,active-noncovalent
CNC(=O)[C@@H]1C[N@](c2ccccc2O1)Cc3cc(cc4c3nccc4)F,top_hits_only_mpro-78_1,-8.891710,x0749,active-covalent
Cc1c(c2ccccc2[nH]1)[C@H](c3ccccn3)Nc4ccc(cc4)Br,top_hits_only_mpro-2_1,-8.873873,x1392,active-covalent
COc1ccnc(n1)[N@]2CCC(=CC2)c3c[nH]c4c3cccn4,top_hits_only_mpro-120_1,-8.853418,x1077,active-noncovalent
C[C@@H](c1ccc(cc1)n2ccnc2)NC(=O)Nc3ccc(c(c3)Cl)Cl,top_hits_only_mpro-332_1,-8.820930,x0387,active-noncovalent
Cc1c(c(n[nH]1)C)[C@H]2CCCN2C(=O)c3ccc4c(c3)[nH]c(=O)o4,top_hits_only_mpro-455_1,-8.810550,x0831,active-covalent
c1cnn(c1)c2c(c(ncn2)NCc3ccncc3)N,top_hits_only_mpro-247_1,-8.809822,x0749,active-covalent
C[C@@H](c1ccc2c(c1)CC(=O)N2)NC(=O)Nc3ccccn3,top_hits_only_mpro-333_1,-8.762221,x0678,active-noncovalent
c1ccc2cc(ccc2c1)/C=C/3\CCn4c3nc5ccc(cc5c4=O)Cl,top_hits_only_mpro-175_1,-8.755840,x0104,active-noncovalent
Cc1cccc(c1Cl)NC(=O)N2CC(=O)N[C@H]3[C@@H]2CCCC3,top_hits_only_mpro-438_1,-8.720431,x0397,active-noncovalent
Cc1cc(c(n1c2ccccc2)C)/C=C/c3ccc4cc(ccc4[n+]3C)N(C)C,top_hits_only_mpro-74_1,-8.719566,x0104,active-noncovalent
c1ccc(cc1)c2csc3c2c(nc(n3)c4cccnc4)N5CCNC(=O)C5,top_hits_only_mpro-440_1,-8.692316,x0107,active-noncovalent
c1cc(cnc1)C(=O)Nc2ccn(n2)c3c(cccn3)Cl,top_hits_only_mpro-399_1,-8.659170,x0397,active-noncovalent
Cc1cc(cnc1)C[NH+]2CCC(=C3c4ccc(cc4CCc5c3nccc5)Cl)CC2,top_hits_only_mpro-156_1,-8.626873,x0678,active-noncovalent
C[C@@H](c1[nH]c2ccccc2n1)NC(=O)c3cc4ccc(cc4[nH]3)Cl,top_hits_only_mpro-174_1,-8.583343,x0161,active-noncovalent
c1ccnc(c1)NC(=O)N[C@H]2CC[N@@H+]3[C@@H]2CCCC3,top_hits_only_mpro-346_1,-8.566411,x0678,active-noncovalent
C[C@@H]1CCC[N@@](C1)c2c3c(csc3nc(n2)c4cccnc4)c5ccccc5,top_hits_only_mpro-38_1,-8.548792,x0397,active-noncovalent
c1ccn(c(=O)c1)CC(=O)N[C@@H]2CCCCNC2=O,top_hits_only_mpro-305_1,-8.533876,x1093,active-noncovalent
Cc1cc2cc(ccc2[nH]1)NS(=O)(=O)c3ccc4ccccc4c3,top_hits_only_mpro-129_1,-8.526791,x0161,active-noncovalent
c1cnn(c1)c2cc(nc(n2)N)NCc3ccncc3,top_hits_only_mpro-251_1,-8.486082,x1093,active-noncovalent
c1cc(ccc1[C@H](C2CCC2)NC(=O)c3cc4c(cn3)nc[nH]c4=O)Cl,-11.719925880432127_1,-8.484887,x0397,active-noncovalent
Cc1cccc2c1c(ncn2)NCCc3ccc(cc3)NC(=O)C,top_hits_only_mpro-16_1,-8.404476,x0107,active-noncovalent
c1ccnc(c1)C(=O)Nc2c[nH]ccc2=O,top_hits_only_mpro-389_1,-8.341784,x0195,active-noncovalent
c1ccc2c(c1)c3nc(nn3c(=O)[nH]2)c4ccccn4,-11.713483810424805_1,-8.338983,x0874,active-noncovalent
c1cc(cc(c1)Cl)NC(=O)c2cc(=O)[nH]c(=O)[nH]2,top_hits_only_mpro-179_1,-8.302268,x0678,active-noncovalent
Cc1ccncc1/C=C/c2nc(no2)[C@H]3CCO[C@@H]3C(C)(C)C,top_hits_only_mpro-31_1,-8.087626,x0107,active-noncovalent
c1c(cc(cc1Cl)Cl)NC(=O)c2cc(=O)[nH]c(=O)[nH]2,top_hits_only_mpro-167_1,-7.993063,x0749,active-covalent
CC[N@@H+]1C[C@@H]([C@H](C1)NS(=O)(=O)c2cc(cnc2)F)C,top_hits_only_mpro-51_1,-7.900436,x0107,active-noncovalent
c1ccc2c(c1)nc3n2c(cc(c3C#N)/C=C/c4cccs4)c5cccc(c5)F,top_hits_only_mpro-226_1,-7.830936,x0434,active-noncovalent
c1ccc(cc1)Oc2ccc(cc2)/C=C/c3ccc4c(cc(c(c4n3)O)Cl)Cl,top_hits_only_mpro-165_1,-7.776695,x0104,active-noncovalent
Cn1c2ccc(cc2oc1=O)S(=O)(=O)[N@]3CCCc4c3cccc4C(=O)N,top_hits_only_mpro-243_1,-7.756454,x0072,active-noncovalent
c1cc2ccc(nc2c(c1)O)/C=C/c3ccc(cc3)OC(F)F,top_hits_only_mpro-188_1,-7.743447,x1093,active-noncovalent
Cc1c(c(n(n1)c2ccc(cn2)C(F)(F)F)C)CC(=O)NCc3cccc(c3)OC,top_hits_only_mpro-117_1,-6.418378,x0104,active-noncovalent
