smiles,broad_id,pert_iname,vendor,catalog_no,vendor_name
OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,BRD-K08252256-236-33-8,diclofenac,MicroSource,1500237,DICLOFENAC SODIUM
OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,BRD-K08252256-237-02-1,diclofenac,Selleck,S3062,Diclofenac Potassium
OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,BRD-K08252256-224-02-9,diclofenac,Selleck,S3063,Diclofenac Diethylamine
OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,BRD-K08252256-236-32-0,diclofenac,Selleck,S1903,Diclofenac Sodium
NS(=O)(=O)c1cc(Cl)c(Cl)c(c1)S(N)(=O)=O,BRD-K71499074-001-12-9,diclofenamide,Selleck,S2177,Dichlorphenamide
COc1ccc2C(CN(C)Cc2c1)c1ccc(Cl)c(Cl)c1,BRD-A51078674-003-01-0,diclofensine,MedChemEx,HY-18610,Diclofensine (hydrochloride)
OC(NC(=O)NC(O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,BRD-A41657926-001-03-0,dicloralurea,MicroSource,1503738,DICLORALUREA
Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)-c1c(Cl)cccc1Cl,BRD-K05673000-236-12-1,dicloxacillin,MicroSource,1500238,DICLOXACILLIN SODIUM
Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)-c1c(Cl)cccc1Cl,BRD-K05673000-323-13-5,dicloxacillin,Selleck,S4111,Dicloxacillin Sodium
Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)-c1c(Cl)cccc1Cl,BRD-K05673000-323-12-7,dicloxacillin,Selleck,S4111,Dicloxacillin Sodium
Oc1c(Cc2c(O)c3ccccc3oc2=O)c(=O)oc2ccccc12,BRD-K82236179-213-01-0,dicoumarol,MicroSource,1500239,DICUMAROL
C1CCC(CC1)NC1CCCCC1,BRD-K57091285-001-07-7,dicyclohexylamine,Vitas-M,STK379549,
CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1,BRD-K68507560-003-25-3,dicycloverine,MicroSource,1500240,DICYCLOMINE HYDROCHLORIDE
CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1,BRD-K68507560-003-24-6,dicycloverine,Selleck,S4373,Dicyclomine HCl
OC[C@@H]1CC[C@@H](O1)n1cnc2c(O)ncnc12,BRD-K99063460-001-13-1,didanosine,Selleck,S1702,Didanosine (Videx)
OC[C@@H]1CC[C@@H](O1)n1cnc2c(O)ncnc12,BRD-K99063460-001-12-3,didanosine,Selleck,S1702,Didanosine
Nc1ncnc2n(cnc12)[C@H]1CC[C@@H](CO)O1,BRD-K84794093-001-07-5,dideoxyadenosine,Berry,PR 3495,
ONC(=O)c1ccc(O)c(O)c1,BRD-K94146583-001-01-6,didox,MedChemEx,HY-19387,Didox
C\C=C(c1ccc(O)cc1)\C(c1ccc(O)cc1)=C\C,BRD-K95309561-001-24-7,dienestrol,MicroSource,1500241,DIENESTROL
C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N,BRD-K50853363-001-02-3,dienogest,Selleck,S1251,Dienogest
CCN(CC)C(=O)N1CCN(C)CC1,BRD-K45542189-048-22-1,diethylcarbamazine,MicroSource,1500242,DIETHYLCARBAMAZINE CITRATE
CC\C(c1ccc(O)cc1)=C(\CC)c1ccc(O)cc1,BRD-K45330754-001-22-5,diethylstilbestrol,MicroSource,1500244,DIETHYLSTILBESTROL
CC\C(c1ccc(O)cc1)=C(\CC)c1ccc(O)cc1,BRD-K45330754-001-21-7,diethylstilbestrol,Selleck,S1859,Diethylstilbestrol
CCN(CC)C(=O)c1cccc(C)c1,BRD-K94080537-001-09-7,diethyltoluamide,MicroSource,1601020,DIETHYLTOLUAMIDE
O=C(Cc1ccc(cc1)-c1ccccc1)Nc1ccccn1,BRD-K96206066-001-07-9,difenpiramide,Enamine,Z60744762,"2-[1,1'-biphenyl]-4-yl-N-(2-pyridinyl)acetamide"
C[C@H]1CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(C)=O)C(=O)COC(C)=O,BRD-A66869276-001-02-9,diflorasone-diacetate,MicroSource,1505880,DIFLORASONE DIACETATE
CN1CCN(CC1)c1cc2n(cc(C(O)=O)c(=O)c2cc1F)-c1ccc(F)cc1,BRD-K73923631-003-01-1,difloxacin,Selleck,S4384,Difloxacin HCl
CN1CCN(CC1)c1cc2n(cc(C(O)=O)c(=O)c2cc1F)-c1ccc(F)cc1,BRD-K73923631-003-02-9,difloxacin,MicroSource,1502359,DIFLOXACIN HYDROCHLORIDE
OC(=O)c1cc(ccc1O)-c1ccc(F)cc1F,BRD-K22031190-001-23-6,diflunisal,MicroSource,1500245,DIFLUNISAL
CCCC(=O)O[C@]1(CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@]3(F)[C@H](O)C[C@]12C)C(=O)COC(C)=O,BRD-K33720171-001-01-0,difluprednate,Selleck,S4095,Difluprednate
O=C1N2Cc3ccccc3C(=O)N2Cc2ccccc12,BRD-K80076813-001-08-8,diftalone,Vitas-M,STL175186,"phthalazino[2,3-b]phthalazine-5,12(7H,14H)-dione"
C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@@H](O)CC[C@]34C)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1,BRD-K18518344-001-15-9,digitoxigenin,Prestwick,Prestw-436,Digitoxigenin
C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CCC5C4CC[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C,BRD-A93236127-001-04-5,digitoxin,MicroSource,1500246,DIGITOXIN
C[C@@]12[C@H](CC[C@]1(O)[C@@H]1CC[C@@H]3C[C@@H](O)CC[C@]3(C)[C@H]1C[C@H]2O)C1=CC(=O)OC1,BRD-K18619710-001-14-4,digoxigenin,Selleck,S4396,Digoxigenin
C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CCC5C4C[C@@H](O)[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C,BRD-A94756469-001-04-7,digoxin,MicroSource,1500247,DIGOXIN
CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,BRD-K20152659-001-10-3,dihomo-gamma-linolenic-acid,Sigma,MFCD00065721,"(8Z,11Z,14Z)-8,11,14-icosatrienoic acid"
CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,BRD-K20152659-001-07-9,dihomo-gamma-linolenic-acid,Sigma,MFCD00065721,"(8Z,11Z,14Z)-8,11,14-icosatrienoic acid"
CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,BRD-K20152659-001-04-6,dihomo-gamma-linolenic-acid,Enzo,FA009,"8(Z),11(Z),14(Z)-Eicosatrienoic acid"
Oc1cc2CC[C@H]3NCc4ccccc4[C@@H]3c2cc1O,BRD-K31471398-003-01-5,dihydrexidine,Tocris,884,Dihydrexidine hydrochloride
C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,BRD-K62213621-001-01-6,dihydroartemisinin,Selleck,S2290,Dihydroartemisinin (DHA)
C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,BRD-K62213621-001-02-4,dihydroartemisinin,MicroSource,1504143,ARTENIMOL
CC(C)[C@@]1(NC(=O)[C@@H]2C[C@H]3[C@@H](Cc4c[nH]c5cccc3c45)N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O,BRD-K97440753-066-19-9,dihydroergocristine,Tocris,474,Dihydroergocristine mesylate
CC(C)[C@@]1(NC(=O)[C@@H]2C[C@H]3[C@@H](Cc4c[nH]c5cccc3c45)N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O,BRD-K97440753-066-18-1,dihydroergocristine,Tocris,474,Dihydroergocristine mesylate
CN1C[C@@H](C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O,BRD-K72166146-066-06-2,dihydroergotamine,Tocris,475,Dihydroergotamine mesylate
CN1C[C@@H](C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O,BRD-K72166146-066-05-4,dihydroergotamine,MicroSource,1500248,DIHYDROERGOTAMINE MESYLATE
CN1C[C@@H](C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O,BRD-K72166146-066-04-7,dihydroergotamine,Tocris,475,Dihydroergotamine mesylate
O[C@@H]1[C@H](Oc2cc(O)cc(O)c2C1=O)c1cc(O)c(O)c(O)c1,BRD-K01614093-001-05-9,dihydromyricetin,MedChemEx,HY-N0112,Dihydromyricetin
O[C@@H]1[C@H](Oc2cc(O)cc(O)c2C1=O)c1cc(O)c(O)c(O)c1,BRD-K01614093-001-04-2,dihydromyricetin,MedChemEx,HY-N0112,Dihydromyricetin
O[C@@H]1[C@H](Oc2cc(O)cc(O)c2C1=O)c1cc(O)c(O)c(O)c1,BRD-K01614093-001-02-6,dihydromyricetin,Selleck,S2399,Dihydromyricetin
O[C@@H]1[C@H](Oc2cc(O)cc(O)c2C1=O)c1cc(O)c(O)c(O)c1,BRD-K01614093-001-03-4,dihydromyricetin,Selleck,S2399,Dihydromyricetin (Ampeloptin)
CN[C@H]1C(O)C(O)C(CO)OC1OC1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)OC(C)[C@]1(O)CO,BRD-A67363467-001-01-3,dihydrostreptomycin,MicroSource,1500249,DIHYDROSTREPTOMYCIN [5mM]
CC(C)C(C)\C=C\C(C)C1CCC2C1(C)CCC\C2=C/C=C1\CC(O)CCC1C,BRD-A34455052-001-01-8,dihydrotachysterol,Sigma,MFCD00867069,"(5E,7E,22E)-9,10-secoergosta-5,7,22-trien-3-ol"
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,BRD-K22525962-001-05-0,dihydrotestosterone,MedChemEx,HY-A0120,Dihydrotestosterone
OCC(=O)CO,BRD-K18637542-001-01-7,dihydroxyacetone,Sigma,MFCD00004670,"1,3-dihydroxyacetone"
NC(C(O)=O)c1cc(O)cc(O)c1,BRD-A20589515-001-02-9,dihydroxyphenylglycine,Tocris,342,"(RS)-3,5-DHPG"
OC(=O)CCc1cc(I)c(Oc2ccc(O)cc2)c(I)c1,BRD-K36802417-001-01-7,diiodothyropropionic-acid,Sigma,MFCD00045945,"3-[4-(4-hydroxyphenoxy)-3,5-diiodophenyl]propanoic acid"
COc1cc(cc(OC)c1OC)C(=O)OCCCN1CCCN(CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)CC1,BRD-K48722258-300-11-0,dilazep,MicroSource,1502263,DILAZEP DIHYDROCHLORIDE
COc1cc(cc(OC)c1OC)C(=O)OCCCN1CCCN(CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)CC1,BRD-K48722258-300-10-2,dilazep,Tocris,481,Dilazep
CN(C(=O)C(Cl)Cl)c1ccc(OC(=O)c2ccco2)cc1,BRD-K10974103-001-21-1,diloxanide,MicroSource,1505532,DILOXANIDE FUROATE
COc1ccc(cc1)[C@@H]1Sc2ccccc2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,BRD-K24023109-003-28-6,diltiazem,Tocris,685,Diltiazem hydrochloride
COc1ccc(cc1)C1Sc2ccccc2N(CCN(C)C)C(=O)C1OC(C)=O,BRD-A69636825-003-04-7,diltiazem,MicroSource,2300214,DILTIAZEM HYDROCHLORIDE
COc1ccc(cc1)[C@@H]1Sc2ccccc2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,BRD-K24023109-003-25-2,diltiazem,Selleck,S1865,Diltiazem HCl
COc1ccc(cc1)[C@@H]1Sc2ccccc2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,BRD-K24023109-003-26-0,diltiazem,Tocris,685,Diltiazem hydrochloride
CN(C)CCCSC(N)=N,BRD-K23541596-300-07-2,dimaprit,Selleck,S4320,Dimaprit 2HCl
CN(C)CCCSC(N)=N,BRD-K23541596-300-08-0,dimaprit,Tocris,506,Dimaprit dihydrochloride
CN1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(C)cc31,BRD-K29812331-011-01-7,dimemorfan,Key,KS-1259,"phosphoric acid compound with (9alpha,13alpha,14alpha)-3,17-dimethylmorphinan (1:1)"
Cn1c2nc(Cl)[nH]c2c(=O)n(C)c1=O.CN(C)CCOC(c1ccccc1)c1ccccc1,BRD-M98649031-001-08-6,dimenhydrinate,MicroSource,1500251,DIMENHYDRINATE
Cn1c2nc(Cl)[nH]c2c(=O)n(C)c1=O.CN(C)CCOC(c1ccccc1)c1ccccc1,BRD-M98649031-001-10-2,dimenhydrinate,MedChemEx,HY-B1215,Dimenhydrinate
Cn1c2nc(Cl)[nH]c2c(=O)n(C)c1=O.CN(C)CCOC(c1ccccc1)c1ccccc1,BRD-M98649031-001-09-4,dimenhydrinate,MedChemEx,HY-B1215,Dimenhydrinate
OCC(S)CS,BRD-A56152450-001-03-8,dimercaprol,Sigma,MFCD00004864,"2,3-disulfanyl-1-propanol"
OCC(S)CS,BRD-A56152450-001-02-0,dimercaprol,MicroSource,1500252,DIMERCAPROL
OC(=O)[C@@H](S)[C@@H](S)C(O)=O,BRD-K88701661-001-03-7,dimercaptosuccinic-acid,AlfaAesar,A17909,"(2R,3S)-2,3-disulfanylbutanedioic acid"
OC(=O)[C@@H](S)[C@@H](S)C(O)=O,BRD-K88701661-001-02-9,dimercaptosuccinic-acid,AlfaAesar,A17909,
OS(=O)(=O)CCSSCCS(O)(=O)=O,BRD-K30126819-304-03-5,dimesna,MicroSource,1502283,DIMESNA
OS(=O)(=O)CCSSCCS(O)(=O)=O,BRD-K30126819-304-02-7,dimesna,Selleck,S1201,Dimesna
CC1(C)OC(=O)NC1=O,BRD-K43687498-001-09-8,dimethadione,MicroSource,1500253,DIMETHADIONE
C[Si](C)(C)O[Si](C)(C)C,BRD-K26674746-001-01-4,dimethicone,Sigma,MFCD00008265,"1,1,1,3,3,3-hexamethyldisiloxane"
C[C@@H](C1=C(CCN(C)C)Cc2ccccc12)c1ccccn1,BRD-K83192048-050-03-5,dimethindene-(S)-(+),Tocris,1425,"(2Z)-2-butenedioic acid compound with N,N-dimethyl-2-{3-[(1S)-1-(2-pyridinyl)ethyl]-1H-inden-2-yl}ethanamine (1:1)"
C[C@@H](C1=C(CCN(C)C)Cc2ccccc12)c1ccccn1,BRD-K83192048-050-02-7,dimethindene-(S)-(+),Tocris,1425,(S)-(+)-Dimethindene maleate
CCCCc1cc2ccccc2c(OCCN(C)C)n1,BRD-K73391359-003-10-2,dimethisoquin,Prestwick,Prestw-630,Dimethisoquin hydrochloride
COC(=O)\C=C\C(=O)OC,BRD-K31111078-001-04-2,dimethyl-fumarate,MicroSource,1506154,DIMETHYL FUMARATE
COC(=O)\C=C\C(=O)OC,BRD-K31111078-001-05-9,dimethyl-fumarate,Selleck,S2586,Dimethyl Fumarate
COC(=O)\C=C\C(=O)OC,BRD-K31111078-001-03-4,dimethyl-fumarate,Selleck,S2586,Dimethyl Fumarate
COC1COC2C(COC12)OC,BRD-A17224697-001-01-0,dimethyl-isosorbide,AMS,A000684285,"3,6-dimethoxyhexahydrofuro[3,2-b]furan"
CC(C1=C(CCN(C)C)Cc2ccccc12)c1ccccn1,BRD-A54141700-001-01-5,dimetindene,AMS,A002862705,"N,N-dimethyl-2-{3-[1-(2-pyridinyl)ethyl]-1H-inden-2-yl}ethanamine"
Cc1ncc(n1C)[N+]([O-])=O,BRD-K72728560-001-01-4,dimetridazole,MicroSource,1506152,DIMETRIDAZOLE
NC(=N)c1ccc(N\N=N\c2ccc(cc2)C(N)=N)cc1,BRD-K92848252-001-01-9,diminazene-aceturate,MicroSource,1502349,DIMINAZENE ACETURATE
NC(=N)c1ccc(N\N=N\c2ccc(cc2)C(N)=N)cc1,BRD-K92848252-001-02-7,diminazene-aceturate,Selleck,S4104,Diminazene Aceturate
NC(=N)c1ccc(N\N=N\c2ccc(cc2)C(N)=N)cc1,BRD-K92848252-001-03-5,diminazene-aceturate,Selleck,S4104,Diminazene Aceturate
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,BRD-K60567437-001-10-2,dimpylate,MicroSource,330017,DIMPYLATE
CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(nc12)N1CCCC[C@H]1CCO,BRD-K13662825-001-07-5,dinaciclib,Selleck,S2768,Dinaciclib (SCH727965)
Cc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)C(N)=O,BRD-K93240442-001-08-4,dinitolmide,MicroSource,1503036,DINITOLMIDE
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O,BRD-K81672972-001-03-1,dinoprost,Enzo,PG008,Dinoprost
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,BRD-K26521938-001-07-2,dinoprostone,Tocris,2296,Prostaglandin E2
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,BRD-K26521938-001-09-8,dinoprostone,Cayman,10007211,"(5Z,11beta,13E,15S)-11,15-dihydroxy-9-oxoprosta-5,13-dien-1-oic acid"
C[C@@H]1[C@@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@@H](CC[C@]5(C)[C@@H]4CC[C@]23C)O[C@@H]2O[C@@H](CO)[C@@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@H]2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)O[C@]11CC[C@@H](C)CO1,BRD-K37723606-001-01-5,dioscin,Selleck,S2379,Dioscin
C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]23C)O[C@]11CC[C@@H](C)CO1,BRD-K28690501-001-02-1,diosgenin,Selleck,S2291,Diosgenin
COc1ccc(cc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,BRD-K26862302-001-05-2,diosmetin,Selleck,S2380,Diosmetin
COc1ccc(cc1O)-c1cc(=O)c2c(O)cc(O[C@@H]3O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)cc2o1,BRD-K94436377-001-10-2,diosmin,MicroSource,1503219,DIOSMIN
COc1ccc(cc1O)-c1cc(=O)c2c(O)cc(O[C@@H]3O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)cc2o1,BRD-K94436377-001-11-0,diosmin,Selleck,S2292,Diosmin
COc1ccc(cc1O)-c1cc(=O)c2c(O)cc(O[C@@H]3O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)cc2o1,BRD-K94436377-001-12-8,diosmin,Selleck,S2292,Diosmin
COc1ccc(C(=O)c2ccccc2O)c(O)c1,BRD-K22193694-001-13-6,dioxybenzone,MicroSource,1500255,DIOXYBENZONE
C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(O)=O,BRD-K11595419-001-02-2,dipeptamin,ChemImpex,1676,(2S)-5-amino-2-{[(2S)-2-aminopropanoyl]amino}-5-oxopentanoic acid
C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(O)=O,BRD-K11595419-001-01-4,dipeptamin,ChemImpex,1676,
O=C(Nc1ccccc1)OCC(CN1CCCCC1)OC(=O)Nc1ccccc1,BRD-A30693873-003-11-0,diperodon,Selleck,S4397,Diperodon HCl
O=C(Nc1ccccc1)OCC(CN1CCCCC1)OC(=O)Nc1ccccc1,BRD-A30693873-003-12-8,diperodon,MicroSource,1505780,DIPERODON HYDROCHLORIDE
C[N+]1(C)CCC(CC1)=C(c1ccccc1)c1ccccc1,BRD-K93441486-067-12-8,diphemanil,Selleck,S4034,Diphemanil Methylsulfate
O=c1c(c1-c1ccccc1)-c1ccccc1,BRD-K51730347-001-05-6,diphencyprone,Vitas-M,STK289679,
O=c1c(c1-c1ccccc1)-c1ccccc1,BRD-K51730347-001-06-4,diphencyprone,Sigma,42910,"2,3-diphenyl-2-cyclopropen-1-one"
CN(C)CCOC(c1ccccc1)c1ccccc1,BRD-K47278471-003-26-3,diphenhydramine,MicroSource,1500256,DIPHENHYDRAMINE HYDROCHLORIDE
CN(C)CCOC(c1ccccc1)c1ccccc1,BRD-K47278471-003-25-5,diphenhydramine,Selleck,S1866,Diphenhydramine HCl
OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,BRD-K01663662-003-20-2,diphenidol,Enamine,Z57257314,
[I+]1c2ccccc2-c2ccccc12,BRD-K65814004-003-02-9,diphenyleneiodonium,Tocris,504,Diphenyleneiodonium chloride
N=C(Nc1ccccc1)Nc1ccccc1,BRD-K12362304-001-07-3,diphenylguanidine,Vitas-M,STK802182,
CN1CCC(CC1)OC(c1ccccc1)c1ccccc1,BRD-K22936972-003-23-6,diphenylpyraline,MicroSource,1500258,DIPHENYLPYRALINE HYDROCHLORIDE
CN1CCC(CC1)OC(c1ccccc1)c1ccccc1,BRD-K22936972-003-22-8,diphenylpyraline,Selleck,S4321,Diphenylpyraline HCl
CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,BRD-A47494775-003-11-3,dipivefrine,Prestwick,Prestw-632,Dipivefrin hydrochloride
Fc1ccc2nc(CCC#Cc3ccccn3)cn2c1,BRD-K64838454-001-01-0,dipraglurant,MedChemEx,HY-14859,Dipraglurant
CC(C)N(CCc1c[nH]c2ccccc12)C(C)C,BRD-K75385383-001-01-5,DIPT,Cayman,11550,N-[2-(1H-indol-3-yl)ethyl]-N-isopropyl-2-propanamine
OCCN(CCO)c1nc(N2CCCCC2)c2nc(nc(N3CCCCC3)c2n1)N(CCO)CCO,BRD-K86301799-001-37-1,dipyridamole,Selleck,S1895,Dipyridamole (Persantine)
OCCN(CCO)c1nc(N2CCCCC2)c2nc(nc(N3CCCCC3)c2n1)N(CCO)CCO,BRD-K86301799-001-39-7,dipyridamole,Tocris,691,Dipyridamole
OCCN(CCO)c1nc(N2CCCCC2)c2nc(nc(N3CCCCC3)c2n1)N(CCO)CCO,BRD-K86301799-001-36-3,dipyridamole,MicroSource,1500259,DIPYRIDAMOLE
OCCN(CCO)c1nc(N2CCCCC2)c2nc(nc(N3CCCCC3)c2n1)N(CCO)CCO,BRD-K86301799-001-34-8,dipyridamole,Selleck,S1895,Dipyridamole
OCCN(CCO)c1nc(N2CCCCC2)c2nc(nc(N3CCCCC3)c2n1)N(CCO)CCO,BRD-K86301799-001-35-5,dipyridamole,Tocris,691,Dipyridamole
CC(=O)Oc1cccc(C(O)=O)c1OC(C)=O,BRD-K47608922-001-04-7,dipyrocetyl,MicroSource,1503032,DIPYROCETYL
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O,BRD-K52756523-001-27-0,dirithromycin,AvaChem,2876,"(1R,2R,3R,6R,7S,8S,9R,10R,12R,13S,15R,17S)-3-ethyl-2,10-dihydroxy-15-[(2-methoxyethoxy)methyl]-2,6,8,10,12,17-hexamethyl-5-oxo-"
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O,BRD-K52756523-001-24-7,dirithromycin,MicroSource,1504144,DIRITHROMYCIN
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O,BRD-K52756523-001-28-8,dirithromycin,Sigma,MFCD00865041,"(1R,2R,3R,6R,7S,8S,9R,10R,12R,13S,15R,17S)-9-(((2S,3R,4S,6R)-4-(dimethylamino)-3-hydroxy-6-methyltetrahydro-2H-pyran-2-yl)oxy)-3-ethyl-2,10-dihydroxy-7-(((2R,4S,5S,6S)-5-hydroxy-4-methoxy-4,6-dimethyl;tetrahydro-2H-pyran-2-yl)oxy)-15-((2-methoxyethoxy)met"
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H](C2C)C1(C)O,BRD-A77786295-001-02-9,dirithromycin,MedChemEx,HY-B0643,Dirithromycin
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O,BRD-K52756523-001-25-4,dirithromycin,MedChemEx,HY-B0643,Dirithromycin
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O,BRD-K52756523-001-26-2,dirithromycin,Selleck,S4213,Dirithromycin
