Molecule Name,CDD Number,SMILES,Canonical PostEra ID,stereochem comments,Covalent Warhead,shipment_SMILES,suspected_SMILES,why_suspected_SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Run Date,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Hill slope,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Curve class
CVD-0018994,"",ClCC(=O)N1CCN([C@@H](C1)C(=O)Nc1ccc2ccccc2c1)S(=O)(=O)c1ccsc1,DAN-MCD-50d01569-1,Single known enantiomer,FALSE,ClCC(=O)N1CCN([C@@H](C1)C(=O)NC=2C=CC=3C=CC=CC3C2)S(=O)(=O)C=4C=CSC4,O=C(Nc1ccc2ccccc2c1)[C@@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,shipment_SMILES,2021-09-23,0.523,0.475,0.575,1.56,1.1
CVD-0018993,"",Fc1ccc(NC(=O)[C@@H]2CN(CCN2S(=O)(=O)c2ccsc2)C(=O)CCl)cc1,DAN-MCD-c163c0bb-1,Single known enantiomer,FALSE,FC=1C=CC(NC(=O)[C@@H]2CN(CCN2S(=O)(=O)C=3C=CSC3)C(=O)CCl)=CC1,O=C(Nc1ccc(F)cc1)[C@@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,shipment_SMILES,2021-09-23,0.593,0.521,0.675,1.72,1.1
CVD-0018992,"",ClCC(=O)N1CCN([C@@H](C1)C(=O)Nc1cccc(c1)C#N)S(=O)(=O)c1ccsc1,DAN-MCD-02570321-1,Single known enantiomer,FALSE,ClCC(=O)N1CCN([C@@H](C1)C(=O)NC=2C=CC=C(C#N)C2)S(=O)(=O)C=3C=CSC3,N#Cc1cccc(NC(=O)[C@@H]2CN(C(=O)CCl)CCN2S(=O)(=O)c2ccsc2)c1,shipment_SMILES,2021-09-23,0.416,0.341,0.507,1.35,1.1
CVD-0018991,"",Cc1cccc(C)c1NC(=O)[C@@H]1CN(CCN1S(=O)(=O)c1ccsc1)C(=O)CCl,DAN-MCD-3bfdcef2-1,Single known enantiomer,FALSE,CC=1C=CC=C(C)C1NC(=O)[C@@H]2CN(CCN2S(=O)(=O)C=3C=CSC3)C(=O)CCl,Cc1cccc(C)c1NC(=O)[C@@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,shipment_SMILES,2021-09-23,1.64,1.30,2.06,1.36,1.1
CVD-0018990,"",CCOC(=O)c1cccc(NC(=O)[C@@H]2CN(CCN2S(=O)(=O)c2ccsc2)C(=O)CCl)c1,DAN-MCD-0742953f-1,Single known enantiomer,FALSE,CCOC(=O)C=1C=CC=C(NC(=O)[C@@H]2CN(CCN2S(=O)(=O)C=3C=CSC3)C(=O)CCl)C1,CCOC(=O)c1cccc(NC(=O)[C@@H]2CN(C(=O)CCl)CCN2S(=O)(=O)c2ccsc2)c1,shipment_SMILES,2021-09-23,0.459,0.424,0.497,1.53,1.1
CVD-0018989,"",ClCC(=O)N1CCN([C@@H](C1)C(=O)N1CCOCC1)S(=O)(=O)c1ccsc1,DAN-MCD-3ec20f87-1,Single known enantiomer,FALSE,ClCC(=O)N1CCN([C@@H](C1)C(=O)N2CCOCC2)S(=O)(=O)C=3C=CSC3,O=C(CCl)N1CCN(S(=O)(=O)c2ccsc2)[C@H](C(=O)N2CCOCC2)C1,shipment_SMILES,2021-09-23,2.88,2.48,3.35,1.98,1.1
CVD-0018987,"",Clc1ccc2C(=O)N(CC(C(=O)Nc3cncc4ccccc34)c2c1)C1CNC(=O)C1,EDJ-MED-12c4873b-8,"",False,"","","",2021-11-01,0.681,0.607,0.763,1.18,1.1
CVD-0018985,"",Clc1ccc2C(=O)N(CC(C(=O)Nc3cncc4ccccc34)c2c1)C1CCNC1=O,EDJ-MED-12c4873b-6,"",False,"","","",2021-11-01,0.717,0.608,0.846,1.15,1.1
CVD-0018984,"",Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)C1CCNC1=O,EDJ-MED-12c4873b-5,Diastereomeric mixture,FALSE,ClC=1C=CC=2CN(CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)C5CCNC5=O,O=C(Nc1cncc2ccccc12)C1CN(C2CCNC2=O)Cc2ccc(Cl)cc21,shipment_SMILES,2021-10-04,1.23,1.18,1.29,1.27,1.1
CVD-0018983,"",CNC(=O)C(C)(C)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-12c4873b-4,"",False,"","","",2021-12-15,1.02,0.890,1.16,1.08,1.1
CVD-0018981,"",CNC(=O)C1(CC1)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-12c4873b-2,"",False,"","","",2021-11-24,0.0607,0.0550,0.0669,1.18,1.1
CVD-0018981,"",CNC(=O)C1(CC1)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-12c4873b-2,"",False,"","","",2021-11-01,< 0.0500,"","",0.858,2.1
CVD-0018841,"",CNC(=O)c1ccc2cncc(NC(=O)C3CN(Cc4ccc(Cl)cc34)S(=O)(=O)CC3(CC3)C#N)c2c1,EDJ-MED-378a25ea-2,Racemic or presumed racemic or meso,FALSE,CNC(=O)C=1C=CC=2C=NC=C(NC(=O)C3CN(CC=4C=CC(Cl)=CC34)S(=O)(=O)CC5(CC5)C#N)C2C1,CNC(=O)c1ccc2cncc(NC(=O)C3CN(S(=O)(=O)CC4(C#N)CC4)Cc4ccc(Cl)cc43)c2c1,shipment_SMILES,2021-11-24,0.116,0.100,0.133,1.17,2.1
CVD-0018822,CDD-2577279,CNC(=O)CN1CC(C(=O)Nc2cncc3cc(ccc23)S(C)(=O)=O)c2cc(Cl)ccc2C1=O,MAT-POS-2e8b2191-12,Racemic or presumed racemic or meso,False,CNC(=O)CN1CC(C(=O)NC=2C=NC=C3C=C(C=CC23)S(=O)(=O)C)C=4C=C(Cl)C=CC4C1=O,CNC(=O)CN1CC(C(=O)Nc2cncc3cc(S(C)(=O)=O)ccc23)c2cc(Cl)ccc2C1=O,shipment_SMILES,2021-10-12,0.0822,0.0774,0.0872,1.11,1.1
CVD-0018822,CDD-2577279,CNC(=O)CN1CC(C(=O)Nc2cncc3cc(ccc23)S(C)(=O)=O)c2cc(Cl)ccc2C1=O,MAT-POS-2e8b2191-12,Racemic or presumed racemic or meso,False,CNC(=O)CN1CC(C(=O)NC=2C=NC=C3C=C(C=CC23)S(=O)(=O)C)C=4C=C(Cl)C=CC4C1=O,CNC(=O)CN1CC(C(=O)Nc2cncc3cc(S(C)(=O)=O)ccc23)c2cc(Cl)ccc2C1=O,shipment_SMILES,2021-09-13,0.0665,0.0625,0.0708,0.980,2.1
CVD-0018821,CDD-2577278,CNC(=O)CN1CC(C(=O)Nc2cncc3ccc(NS(C)(=O)=O)cc23)c2cc(Cl)ccc2C1=O,MAT-POS-2e8b2191-11,Racemic or presumed racemic or meso,False,CNC(=O)CN1CC(C(=O)NC=2C=NC=C3C=CC(NS(=O)(=O)C)=CC23)C=4C=C(Cl)C=CC4C1=O,CNC(=O)CN1CC(C(=O)Nc2cncc3ccc(NS(C)(=O)=O)cc23)c2cc(Cl)ccc2C1=O,shipment_SMILES,2021-10-12,0.0645,0.0608,0.0684,1.03,1.1
CVD-0018821,CDD-2577278,CNC(=O)CN1CC(C(=O)Nc2cncc3ccc(NS(C)(=O)=O)cc23)c2cc(Cl)ccc2C1=O,MAT-POS-2e8b2191-11,Racemic or presumed racemic or meso,False,CNC(=O)CN1CC(C(=O)NC=2C=NC=C3C=CC(NS(=O)(=O)C)=CC23)C=4C=C(Cl)C=CC4C1=O,CNC(=O)CN1CC(C(=O)Nc2cncc3ccc(NS(C)(=O)=O)cc23)c2cc(Cl)ccc2C1=O,shipment_SMILES,2021-09-05,0.0685,0.0566,0.0828,1.00,2.1
CVD-0018820,CDD-2577277,CNC(=O)CN1CC(C(=O)Nc2cncc3ccc(NS(C)(=O)=O)cc23)c2cc(Cl)ccc2C1,MAT-POS-2e8b2191-10,Racemic or presumed racemic or meso,False,CNC(=O)CN1CC(C(=O)NC=2C=NC=C3C=CC(NS(=O)(=O)C)=CC23)C=4C=C(Cl)C=CC4C1,CNC(=O)CN1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccc(NS(C)(=O)=O)cc23)C1,shipment_SMILES,2021-09-13,0.288,0.264,0.314,1.03,2.1
CVD-0018811,"",CCS(=O)(=O)Nc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,MAT-POS-c20a539d-7,Achiral,False,CCS(=O)(=O)NC=1C=CC=2C=NC=C(NC(=O)CC=3C=CC=C(Cl)C3)C2C1,CCS(=O)(=O)Nc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,shipment_SMILES,2021-09-13,1.02,0.939,1.10,1.06,1.1
CVD-0018810,"",CC(C)(O)c1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,MAT-POS-c20a539d-4,Achiral,False,CC(C)(O)C=1C=CC=2C(NC(=O)CC=3C=CC=C(Cl)C3)=CN=CC2C1,CC(C)(O)c1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,shipment_SMILES,2021-09-13,2.91,2.59,3.26,1.11,1.1
CVD-0018807,"",COc1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,MAT-POS-c20a539d-1,Achiral,False,COC=1C=CC=2C(NC(=O)CC=3C=CC=C(Cl)C3)=CN=CC2C1,COc1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,shipment_SMILES,2021-09-05,8.63,6.15,12.1,0.684,2.1
CVD-0018806,CDD-2585116,CNC(=O)CN1Cc2ccc(Cl)cc2C2(CC(=O)N(C2=O)c2cncc3ccccc23)C1,MAT-POS-1bed62cf-3,Racemic or presumed racemic or meso,False,CNC(=O)CN1CC=2C=CC(Cl)=CC2C3(CC(=O)N(C3=O)C=4C=NC=C5C=CC=CC45)C1,CNC(=O)CN1Cc2ccc(Cl)cc2C2(CC(=O)N(c3cncc4ccccc34)C2=O)C1,shipment_SMILES,2021-09-23,0.222,0.192,0.257,1.14,2.1
CVD-0018805,"",CNC(=O)CN1CC2(CC(=O)N(C2=O)c2cncc3ccccc23)c2cc(Cl)ccc2C1=O,MAT-POS-1bed62cf-2,Racemic or presumed racemic or meso,False,CNC(=O)CN1CC2(CC(=O)N(C2=O)C=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C1=O,CNC(=O)CN1CC2(CC(=O)N(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,shipment_SMILES,2021-10-25,0.260,0.241,0.281,1.05,2.1
CVD-0018804,CDD-2577211,Clc1ccc2CN(CC3(CC(=O)N(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CC1)C#N,MAT-POS-1bed62cf-1,Racemic or presumed racemic or meso,False,ClC=1C=CC=2CN(CC3(CC(=O)N(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)CC6(CC6)C#N,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CC(=O)N(c4cncc5ccccc45)C3=O)C2)CC1,shipment_SMILES,2021-09-23,0.159,0.142,0.178,1.12,2.1
CVD-0018797,CDD-2577209,CS(=O)(=O)c1ccc2c(NC(=O)C3CN(Cc4ccc(Cl)cc34)S(=O)(=O)CC3(CC3)C#N)cncc2c1,EDJ-MED-7889e8da-6,"",FALSE,"","","",2021-11-16,0.117,0.0943,0.145,1.20,1.1
CVD-0018797,CDD-2577209,CS(=O)(=O)c1ccc2c(NC(=O)C3CN(Cc4ccc(Cl)cc34)S(=O)(=O)CC3(CC3)C#N)cncc2c1,EDJ-MED-7889e8da-6,"",FALSE,"","","",2021-11-01,0.0582,0.0475,0.0714,0.993,2.1
CVD-0018796,CDD-2577276,CNC(=O)CN1CC(C(=O)Nc2cncc3cc(ccc23)S(C)(=O)=O)c2cc(Cl)ccc2C1,EDJ-MED-7889e8da-5,Racemic or presumed racemic or meso,False,CNC(=O)CN1CC(C(=O)NC=2C=NC=C3C=C(C=CC23)S(=O)(=O)C)C=4C=C(Cl)C=CC4C1,CNC(=O)CN1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3cc(S(C)(=O)=O)ccc23)C1,shipment_SMILES,2021-09-13,0.194,0.184,0.205,1.12,2.1
CVD-0018795,CDD-2577275,CNC(=O)CN1CC(C(=O)Nc2cncc3cc(Cl)ccc23)c2cc(Cl)ccc2C1,EDJ-MED-7889e8da-3,Racemic or presumed racemic or meso,False,CNC(=O)CN1CC(C(=O)NC=2C=NC=C3C=C(Cl)C=CC23)C=4C=C(Cl)C=CC4C1,CNC(=O)CN1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3cc(Cl)ccc23)C1,shipment_SMILES,2021-09-13,0.340,0.302,0.384,1.19,1.1
CVD-0018785,"",Clc1ccc2OCCC3(CN(C(=O)C3)c3cncc4ccccc34)c2c1,MAT-POS-983b399a-3,Racemic or presumed racemic or meso,False,ClC=1C=CC=2OCCC3(CN(C(=O)C3)C=4C=NC=C5C=CC=CC45)C2C1,O=C1CC2(CCOc3ccc(Cl)cc32)CN1c1cncc2ccccc12,shipment_SMILES,2021-09-13,6.74,6.26,7.26,1.11,1.1
CVD-0018781,"",CNC(=O)CN1CC2(CCN(C2=O)c2cncc3ccccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-8bb691af-8,Racemic or presumed racemic or meso,False,CNC(=O)CN1CC2(CCN(C2=O)C=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C1=O,CNC(=O)CN1CC2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,shipment_SMILES,2021-11-24,0.107,0.0988,0.115,1.13,2.1
CVD-0018779,CDD-2577204,Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CC1)C#N,EDJ-MED-8bb691af-6,Racemic or presumed racemic or meso,False,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)CC6(CC6)C#N,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,shipment_SMILES,2021-10-12,0.121,0.109,0.133,0.954,2.1
CVD-0018777,CDD-2585115,CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccccc23)C1,EDJ-MED-8bb691af-4,Racemic or presumed racemic or meso,False,CNC(=O)CN1CC=2C=CC(Cl)=CC2C3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C1,CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,shipment_SMILES,2021-10-04,0.115,0.111,0.119,1.08,2.1
CVD-0018773,CDD-2577274,COC(=O)CN(C)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,MAT-POS-af1eef35-2,"",False,"","","",2021-11-16,0.183,0.131,0.258,1.06,1.1
CVD-0018773,CDD-2577274,COC(=O)CN(C)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,MAT-POS-af1eef35-2,"",False,"","","",2021-08-25,0.0978,0.0869,0.110,1.25,1.1
CVD-0018773,CDD-2577274,COC(=O)CN(C)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,MAT-POS-af1eef35-2,"",False,"","","",2021-08-17,0.0648,0.0569,0.0738,0.893,2.1
CVD-0018738,CDD-2577273,CS(=O)(=O)CCN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,ALP-POS-b3e0acc5-1,Racemic or presumed racemic or meso,False,CS(=O)(=O)CCN1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1=O,CS(=O)(=O)CCN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,shipment_SMILES,2021-09-05,0.177,0.169,0.185,1.03,2.1
CVD-0018695,"",Clc1ccc2CN(CC(C(=O)Nc3cncc4cn[nH]c34)c2c1)S(=O)(=O)CC1(CC1)C#N,MAT-POS-bfd29aac-2,Racemic or presumed racemic or meso,False,ClC=1C=CC=2CN(CC(C(=O)NC3=CN=CC4=CNN=C34)C2C1)S(=O)(=O)CC5(CC5)C#N,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4c[nH]nc34)C2)CC1,shipment_SMILES,2021-10-04,1.05,0.959,1.16,1.17,1.1
CVD-0018694,"",Cn1ncc2cncc(NC(=O)C3CN(Cc4ccc(Cl)cc34)S(=O)(=O)CC3(CC3)C#N)c12,MAT-POS-bfd29aac-1,Racemic or presumed racemic or meso,False,CN1N=CC=2C=NC=C(NC(=O)C3CN(CC=4C=CC(Cl)=CC34)S(=O)(=O)CC5(CC5)C#N)C12,Cn1ncc2cncc(NC(=O)C3CN(S(=O)(=O)CC4(C#N)CC4)Cc4ccc(Cl)cc43)c21,shipment_SMILES,2021-08-25,2.53,2.22,2.89,1.17,1.1
CVD-0018693,CDD-2577196,Clc1ccc2CN(C[C@H](C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CC1)C#N,MAT-POS-e194df51-2,Single unknown enantiomer,False,"ClC=1C=CC=2CN(C[C@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)CC5(CC5)C#N |o1:8,r|",N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@@H](C(=O)Nc3cncc4ccccc34)C2)CC1 |o1:16|,shipment_SMILES,2021-08-09,4.11,3.72,4.55,1.11,1.1
CVD-0018692,CDD-2577195,Clc1ccc2CN(C[C@@H](C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CC1)C#N,MAT-POS-e194df51-1,Single unknown enantiomer,False,"ClC=1C=CC=2CN(C[C@@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)CC5(CC5)C#N |o1:8,r|",N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)CC1 |o1:16|,shipment_SMILES,2021-08-09,< 0.0500,"","",1.05,2.1
CVD-0018688,"",Clc1ccc2OCCC(C(=O)Nc3cncc4ccc(CN5CC6(CNC6)C5)cc34)c2c1,MAT-POS-86c60949-3,Racemic or presumed racemic or meso,False,ClC=1C=CC=2OCCC(C(=O)NC=3C=NC=C4C=CC(CN5CC6(CNC6)C5)=CC34)C2C1,O=C(Nc1cncc2ccc(CN3CC4(CNC4)C3)cc12)C1CCOc2ccc(Cl)cc21,shipment_SMILES,2021-07-26,1.47,1.29,1.68,1.29,1.1
CVD-0018687,CDD-2577272,CC(C)(O)c1ccc2cncc(NC(=O)C3CCNc4ccc(Cl)cc34)c2c1,MAT-POS-86c60949-2,Racemic or presumed racemic or meso,False,CC(C)(O)C=1C=CC=2C=NC=C(NC(=O)C3CCNC=4C=CC(Cl)=CC34)C2C1,CC(C)(O)c1ccc2cncc(NC(=O)C3CCNc4ccc(Cl)cc43)c2c1,shipment_SMILES,2021-07-26,0.353,0.313,0.398,1.27,1.1
CVD-0018686,"",Fc1ccc2c(NC(=O)[C@H]3CCS(=O)(=O)c4ccc(Cl)cc34)cncc2c1,MAT-POS-86c60949-1,Single unknown enantiomer,False,"FC=1C=CC=2C(NC(=O)[C@H]3CCS(=O)(=O)C=4C=CC(Cl)=CC34)=CN=CC2C1 |o1:9,r|",O=C(Nc1cncc2cc(F)ccc12)[C@H]1CCS(=O)(=O)c2ccc(Cl)cc21 |o1:14|,shipment_SMILES,2021-07-26,24.5,19.1,31.5,0.948,2.1
CVD-0018521,"",CCOC(=O)\C=C\N1CCN(CC1)S(=O)(=O)c1ccccc1,PEI-IMP-3d837503-1,Achiral,False,CCOC(=O)/C=C/N1CCN(CC1)S(=O)(=O)C=2C=CC=CC2,CCOC(=O)/C=C/N1CCN(S(=O)(=O)c2ccccc2)CC1,shipment_SMILES,2021-08-09,30.0,26.7,33.6,1.14,2.1
CVD-0018520,"",COc1ccc(cc1)-c1ccsc1S(=O)(=O)N1CCN(CC1)C(=O)CCl,PEI-IMP-668afc53-2,Achiral,False,COC=1C=CC(=CC1)C=2C=CSC2S(=O)(=O)N3CCN(CC3)C(=O)CCl,COc1ccc(-c2ccsc2S(=O)(=O)N2CCN(C(=O)CCl)CC2)cc1,shipment_SMILES,2021-08-09,1.05,0.976,1.13,1.57,1.1
CVD-0018519,CDD-2577271,COc1ccc(cc1)-c1ccccc1S(=O)(=O)N1CCN(CC1)C(=O)CCl,PEI-IMP-668afc53-1,Achiral,False,COC=1C=CC(=CC1)C=2C=CC=CC2S(=O)(=O)N3CCN(CC3)C(=O)CCl,COc1ccc(-c2ccccc2S(=O)(=O)N2CCN(C(=O)CCl)CC2)cc1,shipment_SMILES,2021-08-09,0.551,0.500,0.608,1.50,1.1
CVD-0018505,"",FC(F)c1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,MAT-POS-c0609ef7-1,Achiral,False,FC(F)C=1C=CC=2C(NC(=O)CC=3C=CC=C(Cl)C3)=CN=CC2C1,O=C(Cc1cccc(Cl)c1)Nc1cncc2cc(C(F)F)ccc12,shipment_SMILES,2021-09-13,2.25,1.64,3.07,0.977,1.1
CVD-0018504,CDD-2577181,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC#N,MAT-POS-5cd9ea36-24,Racemic or presumed racemic or meso,False,ClC=1C=CC=2CN(CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)CC#N,N#CCS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,shipment_SMILES,2021-08-11,0.330,0.308,0.354,1.20,1.1
CVD-0018503,CDD-2577270,CN(CCO)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,MAT-POS-5cd9ea36-23,Racemic or presumed racemic or meso,False,CN(CCO)S(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,CN(CCO)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,shipment_SMILES,2021-11-24,0.176,0.150,0.206,1.23,1.1
CVD-0018503,CDD-2577270,CN(CCO)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,MAT-POS-5cd9ea36-23,Racemic or presumed racemic or meso,False,CN(CCO)S(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,CN(CCO)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,shipment_SMILES,2021-10-12,0.0976,0.0924,0.103,1.07,1.1
CVD-0018503,CDD-2577270,CN(CCO)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,MAT-POS-5cd9ea36-23,Racemic or presumed racemic or meso,False,CN(CCO)S(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,CN(CCO)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,shipment_SMILES,2021-09-05,0.0860,0.0829,0.0891,0.968,2.1
CVD-0018502,CDD-2577269,COCCN(C)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,MAT-POS-5cd9ea36-22,Racemic or presumed racemic or meso,False,COCCN(C)S(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,COCCN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,shipment_SMILES,2021-08-17,0.104,0.0914,0.119,0.902,2.1
CVD-0018501,CDD-2577268,CN(CCC#N)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,MAT-POS-5cd9ea36-21,Racemic or presumed racemic or meso,False,CN(CCC#N)S(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,CN(CCC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,shipment_SMILES,2021-10-12,0.0876,0.0825,0.0931,1.08,1.1
CVD-0018501,CDD-2577268,CN(CCC#N)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,MAT-POS-5cd9ea36-21,Racemic or presumed racemic or meso,False,CN(CCC#N)S(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,CN(CCC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,shipment_SMILES,2021-08-17,0.0823,0.0729,0.0929,1.07,2.1
CVD-0018500,CDD-2577267,CN(C1CC1)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,MAT-POS-5cd9ea36-20,Racemic or presumed racemic or meso,False,CN(C1CC1)S(=O)(=O)N2CC(C(=O)NC=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C2,CN(C1CC1)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,shipment_SMILES,2021-08-11,0.104,0.0847,0.128,1.20,2.1
CVD-0018499,"",CC(C)N(C)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,MAT-POS-5cd9ea36-19,Racemic or presumed racemic or meso,False,CC(C)N(C)S(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,CC(C)N(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,shipment_SMILES,2021-10-04,0.126,0.118,0.135,1.19,2.1
CVD-0018498,CDD-2577266,CN(CC#N)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,MAT-POS-5cd9ea36-18,Racemic or presumed racemic or meso,False,CN(CC#N)S(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,CN(CC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,shipment_SMILES,2021-11-16,0.200,0.148,0.269,0.995,1.1
CVD-0018498,CDD-2577266,CN(CC#N)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,MAT-POS-5cd9ea36-18,Racemic or presumed racemic or meso,False,CN(CC#N)S(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,CN(CC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,shipment_SMILES,2021-10-12,0.0952,0.0881,0.103,1.08,1.1
